State: (1, 1, 'N'), Optimal Value: 361.598376
State: (1, 1, 'N'), Optimal Action: 1

State: (1, 1, 'S'), Optimal Value: 378.958311
State: (1, 1, 'S'), Optimal Action: 0

State: (1, 1, 'W'), Optimal Value: 359.010395
State: (1, 1, 'W'), Optimal Action: 2

State: (1, 1, 'E'), Optimal Value: 381.682504
State: (1, 1, 'E'), Optimal Action: 0

State: (2, 1, 'N'), Optimal Value: 360.682412
State: (2, 1, 'N'), Optimal Action: 1

State: (2, 1, 'S'), Optimal Value: 342.006882
State: (2, 1, 'S'), Optimal Action: 1

State: (2, 1, 'W'), Optimal Value: 361.059876
State: (2, 1, 'W'), Optimal Action: 0

State: (2, 1, 'E'), Optimal Value: 380.718428
State: (2, 1, 'E'), Optimal Action: 0

State: (3, 1, 'N'), Optimal Value: 343.856538
State: (3, 1, 'N'), Optimal Action: 2

State: (3, 1, 'S'), Optimal Value: 343.856538
State: (3, 1, 'S'), Optimal Action: 1

State: (3, 1, 'W'), Optimal Value: 363.006882
State: (3, 1, 'W'), Optimal Action: 0

State: (3, 1, 'E'), Optimal Value: 379.703611
State: (3, 1, 'E'), Optimal Action: 0

State: (4, 1, 'N'), Optimal Value: 358.703466
State: (4, 1, 'N'), Optimal Action: 1

State: (4, 1, 'S'), Optimal Value: 345.613711
State: (4, 1, 'S'), Optimal Action: 1

State: (4, 1, 'W'), Optimal Value: 364.856538
State: (4, 1, 'W'), Optimal Action: 0

State: (4, 1, 'E'), Optimal Value: 378.635382
State: (4, 1, 'E'), Optimal Action: 0

State: (5, 1, 'N'), Optimal Value: 357.635271
State: (5, 1, 'N'), Optimal Action: 1

State: (5, 1, 'S'), Optimal Value: 357.635254
State: (5, 1, 'S'), Optimal Action: 2

State: (5, 1, 'W'), Optimal Value: 366.613711
State: (5, 1, 'W'), Optimal Action: 0

State: (5, 1, 'E'), Optimal Value: 377.510932
State: (5, 1, 'E'), Optimal Action: 0

State: (6, 1, 'N'), Optimal Value: 356.510814
State: (6, 1, 'N'), Optimal Action: 1

State: (6, 1, 'S'), Optimal Value: 348.868874
State: (6, 1, 'S'), Optimal Action: 1

State: (6, 1, 'W'), Optimal Value: 368.283025
State: (6, 1, 'W'), Optimal Action: 0

State: (6, 1, 'E'), Optimal Value: 376.327300
State: (6, 1, 'E'), Optimal Action: 0

State: (7, 1, 'N'), Optimal Value: 355.327162
State: (7, 1, 'N'), Optimal Action: 1

State: (7, 1, 'S'), Optimal Value: 355.327194
