State: (1, 1, 'up'), Optimal Value: 842.304066
State: (1, 1, 'up'), Optimal Action: 2

State: (1, 1, 'down'), Optimal Value: 1042.227341
State: (1, 1, 'down'), Optimal Action: 1

State: (1, 1, 'left'), Optimal Value: 937.004517
State: (1, 1, 'left'), Optimal Action: 3

State: (1, 1, 'right'), Optimal Value: 937.004517
State: (1, 1, 'right'), Optimal Action: 2

State: (2, 1, 'up'), Optimal Value: 757.073659
State: (2, 1, 'up'), Optimal Action: 3

State: (2, 1, 'down'), Optimal Value: 757.073659
State: (2, 1, 'down'), Optimal Action: 2

State: (2, 1, 'left'), Optimal Value: 842.304066
State: (2, 1, 'left'), Optimal Action: 1

State: (2, 1, 'right'), Optimal Value: 680.366293
State: (2, 1, 'right'), Optimal Action: 2

State: (3, 1, 'up'), Optimal Value: 680.366293
State: (3, 1, 'up'), Optimal Action: 3

State: (3, 1, 'down'), Optimal Value: 680.366293
State: (3, 1, 'down'), Optimal Action: 2

State: (3, 1, 'left'), Optimal Value: 757.073659
State: (3, 1, 'left'), Optimal Action: 1

State: (3, 1, 'right'), Optimal Value: 611.329664
State: (3, 1, 'right'), Optimal Action: 2

State: (4, 1, 'up'), Optimal Value: 611.329664
State: (4, 1, 'up'), Optimal Action: 3

State: (4, 1, 'down'), Optimal Value: 611.329664
State: (4, 1, 'down'), Optimal Action: 2

State: (4, 1, 'left'), Optimal Value: 680.366293
State: (4, 1, 'left'), Optimal Action: 1

State: (4, 1, 'right'), Optimal Value: 549.196698
State: (4, 1, 'right'), Optimal Action: 2

State: (5, 1, 'up'), Optimal Value: 549.196698
State: (5, 1, 'up'), Optimal Action: 3

State: (5, 1, 'down'), Optimal Value: 549.196698
State: (5, 1, 'down'), Optimal Action: 2

State: (5, 1, 'left'), Optimal Value: 611.329664
State: (5, 1, 'left'), Optimal Action: 1

State: (5, 1, 'right'), Optimal Value: 493.276947
State: (5, 1, 'right'), Optimal Action: 2

State: (6, 1, 'up'), Optimal Value: 493.276947
State: (6, 1, 'up'), Optimal Action: 3

State: (6, 1, 'down'), Optimal Value: 493.276947
State: (6, 1, 'down'), Optimal Action: 2

State: (6, 1, 'left'), Optimal Value: 549.196698
State: (6, 1, 'left'), Optimal Action: 1

State: (6, 1, 'right'), Optimal Value: 442.949253
State: (6, 1, 'right'), Optimal Action: 2

State: (7, 1, 'up'), Optimal Value: 442.949253
State: (7, 1, 'up'), Optimal Action: 3

State: (7, 1, 'down'), Optimal Value: 442.949253
State: (7, 1, 'down'), Optimal Action: 2

State: (7, 1, 'left'), Optimal Value: 493.276947
State: (7, 1, 'left'), Optimal Action: 1

State: (7, 1, 'right'), Optimal Value: 397.654327
State: (7, 1, 'right'), Optimal Action: 2

State: (8, 1, 'up'), Optimal Value: 397.654327
State: (8, 1, 'up'), Optimal Action: 3

State: (8, 1, 'down'), Optimal Value: 397.654327
State: (8, 1, 'down'), Optimal Action: 2

