State: (1, 1, 'up'), Optimal Value: 75.996577
State: (1, 1, 'up'), Optimal Action: 2

State: (1, 1, 'down'), Optimal Value: 96.168612
State: (1, 1, 'down'), Optimal Action: 1

State: (1, 1, 'left'), Optimal Value: 85.551752
State: (1, 1, 'left'), Optimal Action: 3

State: (1, 1, 'right'), Optimal Value: 85.551752
State: (1, 1, 'right'), Optimal Action: 2

State: (2, 1, 'up'), Optimal Value: 67.396920
State: (2, 1, 'up'), Optimal Action: 3

State: (2, 1, 'down'), Optimal Value: 67.396920
State: (2, 1, 'down'), Optimal Action: 2

State: (2, 1, 'left'), Optimal Value: 75.996577
State: (2, 1, 'left'), Optimal Action: 1

State: (2, 1, 'right'), Optimal Value: 59.657229
State: (2, 1, 'right'), Optimal Action: 2

State: (3, 1, 'up'), Optimal Value: 59.657229
State: (3, 1, 'up'), Optimal Action: 3

State: (3, 1, 'down'), Optimal Value: 59.657229
State: (3, 1, 'down'), Optimal Action: 2

State: (3, 1, 'left'), Optimal Value: 67.396920
State: (3, 1, 'left'), Optimal Action: 1

State: (3, 1, 'right'), Optimal Value: 52.691507
State: (3, 1, 'right'), Optimal Action: 2

State: (4, 1, 'up'), Optimal Value: 52.691507
State: (4, 1, 'up'), Optimal Action: 3

State: (4, 1, 'down'), Optimal Value: 52.691507
State: (4, 1, 'down'), Optimal Action: 2

State: (4, 1, 'left'), Optimal Value: 59.657229
State: (4, 1, 'left'), Optimal Action: 1

State: (4, 1, 'right'), Optimal Value: 46.422282
State: (4, 1, 'right'), Optimal Action: 2

State: (5, 1, 'up'), Optimal Value: 46.422282
State: (5, 1, 'up'), Optimal Action: 3

State: (5, 1, 'down'), Optimal Value: 46.422282
State: (5, 1, 'down'), Optimal Action: 2

State: (5, 1, 'left'), Optimal Value: 52.691507
State: (5, 1, 'left'), Optimal Action: 1

State: (5, 1, 'right'), Optimal Value: 40.780055
State: (5, 1, 'right'), Optimal Action: 2

State: (6, 1, 'up'), Optimal Value: 40.780055
State: (6, 1, 'up'), Optimal Action: 3

State: (6, 1, 'down'), Optimal Value: 40.780055
State: (6, 1, 'down'), Optimal Action: 2

State: (6, 1, 'left'), Optimal Value: 46.422282
State: (6, 1, 'left'), Optimal Action: 1

State: (6, 1, 'right'), Optimal Value: 35.702050
State: (6, 1, 'right'), Optimal Action: 2

State: (7, 1, 'up'), Optimal Value: 35.702050
State: (7, 1, 'up'), Optimal Action: 3

State: (7, 1, 'down'), Optimal Value: 35.702050
State: (7, 1, 'down'), Optimal Action: 2

State: (7, 1, 'left'), Optimal Value: 40.780055
State: (7, 1, 'left'), Optimal Action: 1

State: (7, 1, 'right'), Optimal Value: 31.131846
State: (7, 1, 'right'), Optimal Action: 2

State: (8, 1, 'up'), Optimal Value: 31.131846
State: (8, 1, 'up'), Optimal Action: 3

State: (8, 1, 'down'), Optimal Value: 31.131846
State: (8, 1, 'down'), Optimal Action: 2

