State: (1, 1, 'N'), Optimal Value: 83.588950
State: (1, 1, 'N'), Optimal Action: 2

State: (1, 1, 'S'), Optimal Value: 93.456574
State: (1, 1, 'S'), Optimal Action: 1

State: (1, 1, 'W'), Optimal Value: 83.110872
State: (1, 1, 'W'), Optimal Action: 3

State: (1, 1, 'E'), Optimal Value: 93.987772
State: (1, 1, 'E'), Optimal Action: 1

State: (2, 1, 'N'), Optimal Value: 82.987772
State: (2, 1, 'N'), Optimal Action: 2

State: (2, 1, 'S'), Optimal Value: 82.987772
State: (2, 1, 'S'), Optimal Action: 3

State: (2, 1, 'W'), Optimal Value: 84.799741
State: (2, 1, 'W'), Optimal Action: 1

State: (2, 1, 'E'), Optimal Value: 93.319795
State: (2, 1, 'E'), Optimal Action: 1

State: (3, 1, 'N'), Optimal Value: 82.319795
State: (3, 1, 'N'), Optimal Action: 2

State: (3, 1, 'S'), Optimal Value: 82.319795
State: (3, 1, 'S'), Optimal Action: 3

State: (3, 1, 'W'), Optimal Value: 86.319722
State: (3, 1, 'W'), Optimal Action: 1

State: (3, 1, 'E'), Optimal Value: 92.577600
State: (3, 1, 'E'), Optimal Action: 1

State: (4, 1, 'N'), Optimal Value: 81.577600
State: (4, 1, 'N'), Optimal Action: 2

State: (4, 1, 'S'), Optimal Value: 81.577600
State: (4, 1, 'S'), Optimal Action: 3

State: (4, 1, 'W'), Optimal Value: 87.687706
State: (4, 1, 'W'), Optimal Action: 1

State: (4, 1, 'E'), Optimal Value: 91.752884
State: (4, 1, 'E'), Optimal Action: 1

State: (5, 1, 'N'), Optimal Value: 80.752884
State: (5, 1, 'N'), Optimal Action: 2

State: (5, 1, 'S'), Optimal Value: 80.752884
State: (5, 1, 'S'), Optimal Action: 3

State: (5, 1, 'W'), Optimal Value: 88.918891
State: (5, 1, 'W'), Optimal Action: 1

State: (5, 1, 'E'), Optimal Value: 90.836586
State: (5, 1, 'E'), Optimal Action: 1

State: (6, 1, 'N'), Optimal Value: 80.024218
State: (6, 1, 'N'), Optimal Action: 3

State: (6, 1, 'S'), Optimal Value: 80.024218
State: (6, 1, 'S'), Optimal Action: 2

State: (6, 1, 'W'), Optimal Value: 90.026958
State: (6, 1, 'W'), Optimal Action: 1

State: (6, 1, 'E'), Optimal Value: 89.818479
State: (6, 1, 'E'), Optimal Action: 1

State: (7, 1, 'N'), Optimal Value: 80.921800
State: (7, 1, 'N'), Optimal Action: 3

State: (7, 1, 'S'), Optimal Value: 80.921800
State: (7, 1, 'S'), Optimal Action: 2

State: (7, 1, 'W'), Optimal Value: 91.024218
State: (7, 1, 'W'), Optimal Action: 1

State: (7, 1, 'E'), Optimal Value: 88.687248
State: (7, 1, 'E'), Optimal Action: 1

State: (8, 1, 'N'), Optimal Value: 81.729576
State: (8, 1, 'N'), Optimal Action: 3

State: (8, 1, 'S'), Optimal Value: 81.729576
State: (8, 1, 'S'), Optimal Action: 2

State: (8, 1, 'W'), Optimal Value: 91.921800
State: (8, 1, 'W'), Optimal Action: 1

State: (8, 1, 'E'), Optimal Value: 87.430324
State: (8, 1, 'E'), Optimal Action: 1

State: (9, 1, 'N'), Optimal Value: 82.456574
State: (9, 1, 'N'), Optimal Action: 3

State: (9, 1, 'S'), Optimal Value: 82.456574
State: (9, 1, 'S'), Optimal Action: 2

State: (9, 1, 'W'), Optimal Value: 92.729576
State: (9, 1, 'W'), Optimal Action: 1

State: (9, 1, 'E'), Optimal Value: 86.033743
State: (9, 1, 'E'), Optimal Action: 1

State: (10, 1, 'N'), Optimal Value: 83.110872
State: (10, 1, 'N'), Optimal Action: 3

State: (10, 1, 'S'), Optimal Value: 94.980034
State: (10, 1, 'S'), Optimal Action: 1

State: (10, 1, 'W'), Optimal Value: 93.456574
State: (10, 1, 'W'), Optimal Action: 1

State: (10, 1, 'E'), Optimal Value: 84.481986
State: (10, 1, 'E'), Optimal Action: 2

State: (1, 10, 'N'), Optimal Value: 93.641751
State: (1, 10, 'N'), Optimal Action: 1

State: (1, 10, 'S'), Optimal Value: 83.110872
State: (1, 10, 'S'), Optimal Action: 3

State: (1, 10, 'W'), Optimal Value: 83.277532
State: (1, 10, 'W'), Optimal Action: 2

State: (1, 10, 'E'), Optimal Value: 93.456574
State: (1, 10, 'E'), Optimal Action: 1

State: (2, 10, 'N'), Optimal Value: 84.454717
State: (2, 10, 'N'), Optimal Action: 3

State: (2, 10, 'S'), Optimal Value: 84.454717
State: (2, 10, 'S'), Optimal Action: 2

State: (2, 10, 'W'), Optimal Value: 94.949734
State: (2, 10, 'W'), Optimal Action: 1

State: (2, 10, 'E'), Optimal Value: 92.729576
State: (2, 10, 'E'), Optimal Action: 1

State: (3, 10, 'N'), Optimal Value: 84.909201
State: (3, 10, 'N'), Optimal Action: 3

State: (3, 10, 'S'), Optimal Value: 84.909201
State: (3, 10, 'S'), Optimal Action: 2

State: (3, 10, 'W'), Optimal Value: 95.454717
State: (3, 10, 'W'), Optimal Action: 1

State: (3, 10, 'E'), Optimal Value: 91.921800
State: (3, 10, 'E'), Optimal Action: 1

State: (4, 10, 'N'), Optimal Value: 85.318236
State: (4, 10, 'N'), Optimal Action: 3

State: (4, 10, 'S'), Optimal Value: 85.318236
State: (4, 10, 'S'), Optimal Action: 2

State: (4, 10, 'W'), Optimal Value: 95.909201
State: (4, 10, 'W'), Optimal Action: 1

State: (4, 10, 'E'), Optimal Value: 91.024218
State: (4, 10, 'E'), Optimal Action: 1

State: (5, 10, 'N'), Optimal Value: 85.686368
State: (5, 10, 'N'), Optimal Action: 3

State: (5, 10, 'S'), Optimal Value: 85.686368
State: (5, 10, 'S'), Optimal Action: 2

State: (5, 10, 'W'), Optimal Value: 96.318236
State: (5, 10, 'W'), Optimal Action: 1

State: (5, 10, 'E'), Optimal Value: 90.026958
State: (5, 10, 'E'), Optimal Action: 1

State: (6, 10, 'N'), Optimal Value: 86.017687
State: (6, 10, 'N'), Optimal Action: 3

State: (6, 10, 'S'), Optimal Value: 86.017687
State: (6, 10, 'S'), Optimal Action: 2

State: (6, 10, 'W'), Optimal Value: 96.686368
State: (6, 10, 'W'), Optimal Action: 1

State: (6, 10, 'E'), Optimal Value: 88.918891
State: (6, 10, 'E'), Optimal Action: 1

State: (7, 10, 'N'), Optimal Value: 86.315923
State: (7, 10, 'N'), Optimal Action: 3

State: (7, 10, 'S'), Optimal Value: 86.315923
State: (7, 10, 'S'), Optimal Action: 2

State: (7, 10, 'W'), Optimal Value: 97.017687
State: (7, 10, 'W'), Optimal Action: 1

State: (7, 10, 'E'), Optimal Value: 87.687706
State: (7, 10, 'E'), Optimal Action: 1

State: (8, 10, 'N'), Optimal Value: 86.584286
State: (8, 10, 'N'), Optimal Action: 3

State: (8, 10, 'S'), Optimal Value: 86.584286
State: (8, 10, 'S'), Optimal Action: 2

State: (8, 10, 'W'), Optimal Value: 97.315923
State: (8, 10, 'W'), Optimal Action: 1

State: (8, 10, 'E'), Optimal Value: 86.319722
State: (8, 10, 'E'), Optimal Action: 1

State: (9, 10, 'N'), Optimal Value: 86.825813
State: (9, 10, 'N'), Optimal Action: 3

State: (9, 10, 'S'), Optimal Value: 86.825813
State: (9, 10, 'S'), Optimal Action: 2

State: (9, 10, 'W'), Optimal Value: 97.584286
State: (9, 10, 'W'), Optimal Action: 1

State: (9, 10, 'E'), Optimal Value: 84.799741
State: (9, 10, 'E'), Optimal Action: 1

State: (10, 10, 'N'), Optimal Value: 93.456574
State: (10, 10, 'N'), Optimal Action: 1

State: (10, 10, 'S'), Optimal Value: 87.043188
State: (10, 10, 'S'), Optimal Action: 2

State: (10, 10, 'W'), Optimal Value: 97.825813
State: (10, 10, 'W'), Optimal Action: 1

State: (10, 10, 'E'), Optimal Value: 83.110872
State: (10, 10, 'E'), Optimal Action: 3

State: (1, 2, 'N'), Optimal Value: 85.230011
State: (1, 2, 'N'), Optimal Action: 1

State: (1, 2, 'S'), Optimal Value: 92.729576
State: (1, 2, 'S'), Optimal Action: 1

State: (1, 2, 'W'), Optimal Value: 82.456574
State: (1, 2, 'W'), Optimal Action: 3

State: (1, 2, 'E'), Optimal Value: 82.456574
State: (1, 2, 'E'), Optimal Action: 2

State: (1, 3, 'N'), Optimal Value: 86.706965
State: (1, 3, 'N'), Optimal Action: 1

State: (1, 3, 'S'), Optimal Value: 91.921800
State: (1, 3, 'S'), Optimal Action: 1

State: (1, 3, 'W'), Optimal Value: 81.729576
State: (1, 3, 'W'), Optimal Action: 3

State: (1, 3, 'E'), Optimal Value: 81.729576
State: (1, 3, 'E'), Optimal Action: 2

State: (1, 4, 'N'), Optimal Value: 88.036225
State: (1, 4, 'N'), Optimal Action: 1

State: (1, 4, 'S'), Optimal Value: 91.024218
State: (1, 4, 'S'), Optimal Action: 1

State: (1, 4, 'W'), Optimal Value: 80.921800
State: (1, 4, 'W'), Optimal Action: 3

State: (1, 4, 'E'), Optimal Value: 80.921800
State: (1, 4, 'E'), Optimal Action: 2

State: (1, 5, 'N'), Optimal Value: 89.232558
State: (1, 5, 'N'), Optimal Action: 1

State: (1, 5, 'S'), Optimal Value: 90.026958
State: (1, 5, 'S'), Optimal Action: 1

State: (1, 5, 'W'), Optimal Value: 80.024218
State: (1, 5, 'W'), Optimal Action: 3

State: (1, 5, 'E'), Optimal Value: 80.024218
State: (1, 5, 'E'), Optimal Action: 2

State: (1, 6, 'N'), Optimal Value: 90.309258
State: (1, 6, 'N'), Optimal Action: 1

State: (1, 6, 'S'), Optimal Value: 88.918891
State: (1, 6, 'S'), Optimal Action: 1

State: (1, 6, 'W'), Optimal Value: 80.278288
State: (1, 6, 'W'), Optimal Action: 2

State: (1, 6, 'E'), Optimal Value: 80.278288
State: (1, 6, 'E'), Optimal Action: 3

State: (1, 7, 'N'), Optimal Value: 91.278288
State: (1, 7, 'N'), Optimal Action: 1

State: (1, 7, 'S'), Optimal Value: 87.687706
State: (1, 7, 'S'), Optimal Action: 1

State: (1, 7, 'W'), Optimal Value: 81.150463
State: (1, 7, 'W'), Optimal Action: 2

State: (1, 7, 'E'), Optimal Value: 81.150463
State: (1, 7, 'E'), Optimal Action: 3

State: (1, 8, 'N'), Optimal Value: 92.150463
State: (1, 8, 'N'), Optimal Action: 1

State: (1, 8, 'S'), Optimal Value: 86.319722
State: (1, 8, 'S'), Optimal Action: 1

State: (1, 8, 'W'), Optimal Value: 81.935328
State: (1, 8, 'W'), Optimal Action: 2

State: (1, 8, 'E'), Optimal Value: 81.935328
State: (1, 8, 'E'), Optimal Action: 3

State: (1, 9, 'N'), Optimal Value: 92.935328
State: (1, 9, 'N'), Optimal Action: 1

State: (1, 9, 'S'), Optimal Value: 84.799741
State: (1, 9, 'S'), Optimal Action: 1

State: (1, 9, 'W'), Optimal Value: 82.641751
State: (1, 9, 'W'), Optimal Action: 2

State: (1, 9, 'E'), Optimal Value: 82.641751
State: (1, 9, 'E'), Optimal Action: 3

State: (10, 2, 'N'), Optimal Value: 84.799741
State: (10, 2, 'N'), Optimal Action: 1

State: (10, 2, 'S'), Optimal Value: 94.422309
State: (10, 2, 'S'), Optimal Action: 1

State: (10, 2, 'W'), Optimal Value: 83.980034
State: (10, 2, 'W'), Optimal Action: 3

State: (10, 2, 'E'), Optimal Value: 83.980034
State: (10, 2, 'E'), Optimal Action: 2

State: (10, 3, 'N'), Optimal Value: 86.319722
State: (10, 3, 'N'), Optimal Action: 1

State: (10, 3, 'S'), Optimal Value: 93.802615
State: (10, 3, 'S'), Optimal Action: 1

State: (10, 3, 'W'), Optimal Value: 83.422309
State: (10, 3, 'W'), Optimal Action: 3

State: (10, 3, 'E'), Optimal Value: 83.422309
State: (10, 3, 'E'), Optimal Action: 2

State: (10, 4, 'N'), Optimal Value: 87.687706
State: (10, 4, 'N'), Optimal Action: 1

State: (10, 4, 'S'), Optimal Value: 93.114011
State: (10, 4, 'S'), Optimal Action: 1

State: (10, 4, 'W'), Optimal Value: 82.802615
State: (10, 4, 'W'), Optimal Action: 3

State: (10, 4, 'E'), Optimal Value: 82.802615
State: (10, 4, 'E'), Optimal Action: 2

State: (10, 5, 'N'), Optimal Value: 88.918891
State: (10, 5, 'N'), Optimal Action: 1

State: (10, 5, 'S'), Optimal Value: 92.348951
State: (10, 5, 'S'), Optimal Action: 1

State: (10, 5, 'W'), Optimal Value: 82.114011
State: (10, 5, 'W'), Optimal Action: 3

State: (10, 5, 'E'), Optimal Value: 82.114011
State: (10, 5, 'E'), Optimal Action: 2

State: (10, 6, 'N'), Optimal Value: 90.026958
State: (10, 6, 'N'), Optimal Action: 1

State: (10, 6, 'S'), Optimal Value: 91.498883
State: (10, 6, 'S'), Optimal Action: 1

State: (10, 6, 'W'), Optimal Value: 81.348951
State: (10, 6, 'W'), Optimal Action: 3

State: (10, 6, 'E'), Optimal Value: 81.348951
State: (10, 6, 'E'), Optimal Action: 2

State: (10, 7, 'N'), Optimal Value: 91.024218
State: (10, 7, 'N'), Optimal Action: 1

State: (10, 7, 'S'), Optimal Value: 90.554364
State: (10, 7, 'S'), Optimal Action: 1

State: (10, 7, 'W'), Optimal Value: 80.921800
State: (10, 7, 'W'), Optimal Action: 2

State: (10, 7, 'E'), Optimal Value: 80.921800
State: (10, 7, 'E'), Optimal Action: 3

State: (10, 8, 'N'), Optimal Value: 91.921800
State: (10, 8, 'N'), Optimal Action: 1

State: (10, 8, 'S'), Optimal Value: 89.504898
State: (10, 8, 'S'), Optimal Action: 1

State: (10, 8, 'W'), Optimal Value: 81.729576
State: (10, 8, 'W'), Optimal Action: 2

State: (10, 8, 'E'), Optimal Value: 81.729576
State: (10, 8, 'E'), Optimal Action: 3

State: (10, 9, 'N'), Optimal Value: 92.729576
State: (10, 9, 'N'), Optimal Action: 1

State: (10, 9, 'S'), Optimal Value: 88.338825
State: (10, 9, 'S'), Optimal Action: 1

State: (10, 9, 'W'), Optimal Value: 82.456574
State: (10, 9, 'W'), Optimal Action: 2

State: (10, 9, 'E'), Optimal Value: 82.456574
State: (10, 9, 'E'), Optimal Action: 3

