,Episode_No,Episode_Returns,Episode_Length
0,1.0,321.6092001889035,126.0
1,2.0,345.71467104808335,147.0
2,3.0,275.626412060503,491.0
3,4.0,326.3831897449128,182.0
4,5.0,340.7476624990428,134.0
5,6.0,258.13568170370206,63.0
6,7.0,371.6984112849765,93.0
7,8.0,351.53611229544725,208.0
8,9.0,360.3356465680351,67.0
9,10.0,296.38350837559614,44.0
10,11.0,315.06905227041926,66.0
11,12.0,337.866627483769,58.0
12,13.0,364.0230707473381,81.0
13,14.0,353.0445220141599,284.0
14,15.0,228.1315274449907,34.0
15,16.0,356.94625462166454,227.0
16,17.0,291.69958514236356,41.0
17,18.0,336.37956536445967,90.0
18,19.0,361.270812206544,63.0
19,20.0,358.8367940662325,55.0
20,21.0,152.1033084326179,15.0
21,22.0,229.0285555954801,35.0
22,23.0,356.28711503473846,57.0
23,24.0,345.53321238839607,57.0
24,25.0,364.79349761006614,159.0
25,26.0,312.30564405284645,139.0
26,27.0,358.8367940662325,55.0
27,28.0,371.789313650481,142.0
28,29.0,358.8367940662325,55.0
29,30.0,288.92717997341924,81.0
30,31.0,307.53670690920967,405.0
31,32.0,364.7797215165584,145.0
32,33.0,358.8367940662325,55.0
33,34.0,348.3545038102471,59.0
34,35.0,368.89416804822315,123.0
35,36.0,358.8367940662325,55.0
36,37.0,358.8367940662325,55.0
37,38.0,313.1502502365339,66.0
38,39.0,360.32288697408995,442.0
39,40.0,336.2993824271302,155.0
40,41.0,318.0865656965094,62.0
41,42.0,367.9978121919618,259.0
42,43.0,375.3534553981034,382.0
43,44.0,318.2119989053825,101.0
44,45.0,332.67314251106774,135.0
45,46.0,358.8367940662325,55.0
46,47.0,334.121266404316,74.0
47,48.0,358.8367940662325,55.0
48,49.0,365.74938841846983,95.0
49,50.0,351.00799086088796,57.0
50,51.0,345.8266798801227,146.0
51,52.0,326.9822354100246,123.0
52,53.0,368.03151271578827,180.0
53,54.0,364.9000615645916,124.0
54,55.0,363.1977064484779,199.0
55,56.0,359.6445576703562,77.0
56,57.0,324.75915160266607,187.0
57,58.0,354.981292484099,154.0
58,59.0,374.2817591588,176.0
59,60.0,335.84263801670636,121.0
60,61.0,345.53321238839607,57.0
61,62.0,354.12749123257294,57.0
62,63.0,362.63826079117825,110.0
63,64.0,347.63348882852466,75.0
64,65.0,364.3746554330155,92.0
65,66.0,361.9093934176381,85.0
66,67.0,358.8367940662325,55.0
67,68.0,366.9346160634517,99.0
68,69.0,372.8101557989584,431.0
69,70.0,349.21287499592034,57.0
70,71.0,304.9858920029396,37.0
71,72.0,358.8367940662325,55.0
72,73.0,358.8367940662325,55.0
73,74.0,331.5804339094237,103.0
74,75.0,341.96899166854496,59.0
75,76.0,334.25329436973584,57.0
76,77.0,374.74343769541497,133.0
77,78.0,357.27907961189055,80.0
78,79.0,319.5801222264728,113.0
79,80.0,358.8367940662325,55.0
80,81.0,359.8309378472049,333.0
81,82.0,278.10198741535794,49.0
82,83.0,357.32704812588145,59.0
83,84.0,324.4028936814496,75.0
84,85.0,332.80254084584163,62.0
85,86.0,355.45347170278893,121.0
86,87.0,343.12739363444155,212.0
87,88.0,358.1734671572331,85.0
88,89.0,305.607815379135,71.0
89,90.0,358.8367940662325,55.0
90,91.0,371.1038898170443,287.0
91,92.0,351.00799086088796,57.0
92,93.0,344.26351912118514,156.0
93,94.0,201.9334422310735,21.0
94,95.0,355.0357567095329,58.0
95,96.0,298.8777565184363,61.0
96,97.0,326.91373144677215,59.0
97,98.0,296.81136921960126,137.0
98,99.0,293.35013761772836,33.0
99,100.0,156.3817552671183,15.0
100,101.0,371.4465965132068,227.0
101,102.0,340.52728803496376,59.0
102,103.0,350.50081437179074,153.0
103,104.0,358.8367940662325,55.0
104,105.0,334.3142871512632,71.0
105,106.0,357.1681123995334,57.0
106,107.0,364.9196161105892,76.0
107,108.0,326.46631070826123,59.0
108,109.0,335.3129605573441,201.0
109,110.0,358.8367940662325,55.0
110,111.0,334.31716257818186,184.0
111,112.0,357.04092016282664,56.0
112,113.0,352.4474618027907,149.0
113,114.0,363.56354222640886,103.0
114,115.0,343.79050291710314,59.0
115,116.0,373.28633928612606,187.0
116,117.0,348.0614022809333,56.0
117,118.0,345.53321238839607,57.0
118,119.0,332.74819372368114,57.0
119,120.0,358.8367940662325,55.0
120,121.0,340.8546653623885,83.0
121,122.0,351.00799086088796,57.0
122,123.0,358.8367940662325,55.0
123,124.0,365.49402923713967,120.0
124,125.0,352.3928542049712,103.0
125,126.0,331.4138956830805,390.0
126,127.0,366.61117772248,315.0
127,128.0,349.21287499592034,57.0
128,129.0,350.64156748233415,206.0
129,130.0,353.3540739169368,57.0
130,131.0,336.94042870960527,175.0
131,132.0,352.91763726423744,112.0
132,133.0,325.5086139865749,83.0
133,134.0,347.9273556843726,59.0
134,135.0,368.1509596677563,175.0
135,136.0,363.36049398439354,97.0
136,137.0,194.997178248459,19.0
137,138.0,359.67196925888675,95.0
138,139.0,365.03646302801513,334.0
139,140.0,338.013403312254,60.0
140,141.0,335.50997087548114,127.0
141,142.0,348.0614022809333,56.0
142,143.0,305.4280597243359,65.0
143,144.0,329.31316771761595,61.0
144,145.0,313.62482221619274,93.0
145,146.0,330.6738856887746,317.0
146,147.0,341.8288483344792,57.0
147,148.0,358.8367940662325,55.0
148,149.0,372.24368324128363,228.0
149,150.0,358.8367940662325,55.0
150,151.0,368.56205299551954,222.0
151,152.0,371.56318389039643,301.0
152,153.0,333.60475758199294,209.0
153,154.0,338.3319289829633,57.0
154,155.0,351.86258165186655,211.0
155,156.0,331.20163459659506,59.0
156,157.0,364.85334186062835,279.0
157,158.0,344.1141325927756,200.0
158,159.0,319.77780611604084,89.0
159,160.0,338.81231519765464,60.0
160,161.0,358.0432350962714,57.0
161,162.0,357.3615361294054,57.0
162,163.0,342.17098527189097,59.0
163,164.0,357.8856902593923,57.0
164,165.0,357.8856902593923,57.0
165,166.0,269.988835473678,35.0
166,167.0,348.68816188257074,99.0
167,168.0,366.0519011843208,113.0
168,169.0,321.109343494735,403.0
169,170.0,342.3660539187866,89.0
170,171.0,350.20039836747407,59.0
171,172.0,342.35337811247933,95.0
172,173.0,334.25329436973584,57.0
173,174.0,353.3540739169368,57.0
174,175.0,361.4785136202465,101.0
175,176.0,356.96450847335234,57.0
176,177.0,345.1184344688368,229.0
177,178.0,358.8367940662325,55.0
178,179.0,358.8367940662325,55.0
179,180.0,360.97071613086933,285.0
180,181.0,355.7693994668699,71.0
181,182.0,291.6342272886747,247.0
182,183.0,318.99955171003563,59.0
183,184.0,127.2673504101029,13.0
184,185.0,344.5192166836533,93.0
185,186.0,339.2317407917666,135.0
186,187.0,358.95142598467953,94.0
187,188.0,341.8288483344792,57.0
188,189.0,234.71527420791782,27.0
189,190.0,358.8367940662325,55.0
190,191.0,375.3291312333042,123.0
191,192.0,358.8367940662325,55.0
192,193.0,329.0232950918119,186.0
193,194.0,352.50527405789563,195.0
194,195.0,352.86466843339616,58.0
195,196.0,358.8367940662325,55.0
196,197.0,344.4969782216105,113.0
197,198.0,352.9365746912223,57.0
198,199.0,358.8367940662325,55.0
199,200.0,332.74819372368114,57.0
200,201.0,358.95409065612535,107.0
201,202.0,346.5441188415221,73.0
202,203.0,355.45852326915633,59.0
203,204.0,358.8367940662325,55.0
204,205.0,274.1031121825367,195.0
205,206.0,198.58195858416428,26.0
206,207.0,280.9094487024944,37.0
207,208.0,359.8210014897021,307.0
208,209.0,335.6831399834878,57.0
209,210.0,359.28341389847435,189.0
210,211.0,370.03962724532863,113.0
211,212.0,348.7051440515013,167.0
212,213.0,335.13856629915404,167.0
213,214.0,357.55340661073757,153.0
214,215.0,358.8367940662325,55.0
215,216.0,358.8367940662325,55.0
216,217.0,352.4971018220491,57.0
217,218.0,337.19300859545666,51.0
218,219.0,321.6882736603656,69.0
219,220.0,367.97442453439004,291.0
220,221.0,358.8367940662325,55.0
221,222.0,338.87652347146906,324.0
222,223.0,364.3897757519916,139.0
223,224.0,368.297226336347,247.0
224,225.0,355.1485533022134,57.0
225,226.0,353.54637926670216,59.0
226,227.0,358.8367940662325,55.0
227,228.0,293.270929513495,217.0
228,229.0,333.63801303666975,292.0
229,230.0,364.1832672316211,83.0
230,231.0,307.91268648037044,111.0
231,232.0,366.77444979614785,187.0
232,233.0,346.31292655149133,59.0
233,234.0,343.1748662007243,206.0
234,235.0,348.0614022809333,56.0
