State: (1, 1, 'N'), Optimal Value: 1870.775763
State: (1, 1, 'N'), Optimal Action: 1

State: (1, 1, 'S'), Optimal Value: 1875.582287
State: (1, 1, 'S'), Optimal Action: 0

State: (1, 1, 'W'), Optimal Value: 1855.826415
State: (1, 1, 'W'), Optimal Action: 2

State: (1, 1, 'E'), Optimal Value: 1890.682639
State: (1, 1, 'E'), Optimal Action: 0

State: (2, 1, 'N'), Optimal Value: 1869.682639
State: (2, 1, 'N'), Optimal Action: 1

State: (2, 1, 'S'), Optimal Value: 1869.682639
State: (2, 1, 'S'), Optimal Action: 2

State: (2, 1, 'W'), Optimal Value: 1857.268101
State: (2, 1, 'W'), Optimal Action: 0

State: (2, 1, 'E'), Optimal Value: 1889.578473
State: (2, 1, 'E'), Optimal Action: 0

State: (3, 1, 'N'), Optimal Value: 1868.578473
State: (3, 1, 'N'), Optimal Action: 1

State: (3, 1, 'S'), Optimal Value: 1868.578473
State: (3, 1, 'S'), Optimal Action: 2

State: (3, 1, 'W'), Optimal Value: 1858.695371
State: (3, 1, 'W'), Optimal Action: 0

State: (3, 1, 'E'), Optimal Value: 1888.463154
State: (3, 1, 'E'), Optimal Action: 0

State: (4, 1, 'N'), Optimal Value: 1867.463154
State: (4, 1, 'N'), Optimal Action: 1

State: (4, 1, 'S'), Optimal Value: 1867.463154
State: (4, 1, 'S'), Optimal Action: 2

State: (4, 1, 'W'), Optimal Value: 1860.108368
State: (4, 1, 'W'), Optimal Action: 0

State: (4, 1, 'E'), Optimal Value: 1887.336516
State: (4, 1, 'E'), Optimal Action: 0

State: (5, 1, 'N'), Optimal Value: 1866.336516
State: (5, 1, 'N'), Optimal Action: 1

State: (5, 1, 'S'), Optimal Value: 1866.336516
State: (5, 1, 'S'), Optimal Action: 2

State: (5, 1, 'W'), Optimal Value: 1861.507235
State: (5, 1, 'W'), Optimal Action: 0

State: (5, 1, 'E'), Optimal Value: 1886.198551
State: (5, 1, 'E'), Optimal Action: 0

State: (6, 1, 'N'), Optimal Value: 1865.198551
State: (6, 1, 'N'), Optimal Action: 1

State: (6, 1, 'S'), Optimal Value: 1865.198551
State: (6, 1, 'S'), Optimal Action: 2

State: (6, 1, 'W'), Optimal Value: 1862.892114
State: (6, 1, 'W'), Optimal Action: 0

State: (6, 1, 'E'), Optimal Value: 1885.049091
State: (6, 1, 'E'), Optimal Action: 0

State: (7, 1, 'N'), Optimal Value: 1864.049091
State: (7, 1, 'N'), Optimal Action: 1

