State: (1, 1, 'N'), Optimal Value: 37697.000000
State: (1, 1, 'N'), Optimal Action: 1

State: (1, 1, 'S'), Optimal Value: 37717.000000
State: (1, 1, 'S'), Optimal Action: 0

State: (1, 1, 'W'), Optimal Value: 37676.000000
State: (1, 1, 'W'), Optimal Action: 1

State: (1, 1, 'E'), Optimal Value: 37718.000000
State: (1, 1, 'E'), Optimal Action: 0

State: (2, 1, 'N'), Optimal Value: 37697.000000
State: (2, 1, 'N'), Optimal Action: 1

State: (2, 1, 'S'), Optimal Value: 37697.000000
State: (2, 1, 'S'), Optimal Action: 2

State: (2, 1, 'W'), Optimal Value: 37696.000000
State: (2, 1, 'W'), Optimal Action: 0

State: (2, 1, 'E'), Optimal Value: 37738.000000
State: (2, 1, 'E'), Optimal Action: 0

State: (3, 1, 'N'), Optimal Value: 37717.000000
State: (3, 1, 'N'), Optimal Action: 1

State: (3, 1, 'S'), Optimal Value: 37717.000000
State: (3, 1, 'S'), Optimal Action: 2

State: (3, 1, 'W'), Optimal Value: 37676.000000
State: (3, 1, 'W'), Optimal Action: 0

State: (3, 1, 'E'), Optimal Value: 37717.000000
State: (3, 1, 'E'), Optimal Action: 0

State: (4, 1, 'N'), Optimal Value: 37696.000000
State: (4, 1, 'N'), Optimal Action: 1

State: (4, 1, 'S'), Optimal Value: 37696.000000
State: (4, 1, 'S'), Optimal Action: 2

State: (4, 1, 'W'), Optimal Value: 37696.000000
State: (4, 1, 'W'), Optimal Action: 0

State: (4, 1, 'E'), Optimal Value: 37717.000000
State: (4, 1, 'E'), Optimal Action: 0

State: (5, 1, 'N'), Optimal Value: 37696.000000
State: (5, 1, 'N'), Optimal Action: 1

State: (5, 1, 'S'), Optimal Value: 37696.000000
State: (5, 1, 'S'), Optimal Action: 2

State: (5, 1, 'W'), Optimal Value: 37676.000000
State: (5, 1, 'W'), Optimal Action: 0

State: (5, 1, 'E'), Optimal Value: 37717.000000
State: (5, 1, 'E'), Optimal Action: 0

State: (6, 1, 'N'), Optimal Value: 37696.000000
State: (6, 1, 'N'), Optimal Action: 1

State: (6, 1, 'S'), Optimal Value: 37696.000000
State: (6, 1, 'S'), Optimal Action: 2

State: (6, 1, 'W'), Optimal Value: 37696.000000
State: (6, 1, 'W'), Optimal Action: 0

State: (6, 1, 'E'), Optimal Value: 37717.000000
State: (6, 1, 'E'), Optimal Action: 0

State: (7, 1, 'N'), Optimal Value: 37696.000000
State: (7, 1, 'N'), Optimal Action: 1

