State: (1, 1, 'up'), Optimal Value: 35.702051
State: (1, 1, 'up'), Optimal Action: right

State: (1, 1, 'down'), Optimal Value: 46.422283
State: (1, 1, 'down'), Optimal Action: forward

State: (1, 1, 'left'), Optimal Value: 40.780056
State: (1, 1, 'left'), Optimal Action: left

State: (1, 1, 'right'), Optimal Value: 40.780056
State: (1, 1, 'right'), Optimal Action: right

State: (2, 1, 'up'), Optimal Value: 31.131847
State: (2, 1, 'up'), Optimal Action: left

State: (2, 1, 'down'), Optimal Value: 31.131847
State: (2, 1, 'down'), Optimal Action: right

State: (2, 1, 'left'), Optimal Value: 35.702051
State: (2, 1, 'left'), Optimal Action: forward

State: (2, 1, 'right'), Optimal Value: 27.018580
State: (2, 1, 'right'), Optimal Action: right

State: (3, 1, 'up'), Optimal Value: 27.018580
State: (3, 1, 'up'), Optimal Action: left

State: (3, 1, 'down'), Optimal Value: 27.018580
State: (3, 1, 'down'), Optimal Action: right

State: (3, 1, 'left'), Optimal Value: 31.131847
State: (3, 1, 'left'), Optimal Action: forward

State: (3, 1, 'right'), Optimal Value: 25.173457
State: (3, 1, 'right'), Optimal Action: forward

State: (4, 1, 'up'), Optimal Value: 25.173457
State: (4, 1, 'up'), Optimal Action: right

State: (4, 1, 'down'), Optimal Value: 25.173457
State: (4, 1, 'down'), Optimal Action: left

State: (4, 1, 'left'), Optimal Value: 27.018580
State: (4, 1, 'left'), Optimal Action: forward

State: (4, 1, 'right'), Optimal Value: 29.081618
State: (4, 1, 'right'), Optimal Action: forward

State: (5, 1, 'up'), Optimal Value: 29.081618
State: (5, 1, 'up'), Optimal Action: right

State: (5, 1, 'down'), Optimal Value: 29.081618
State: (5, 1, 'down'), Optimal Action: left

State: (5, 1, 'left'), Optimal Value: 25.173457
State: (5, 1, 'left'), Optimal Action: right

State: (5, 1, 'right'), Optimal Value: 33.424019
State: (5, 1, 'right'), Optimal Action: forward

State: (6, 1, 'up'), Optimal Value: 33.424019
State: (6, 1, 'up'), Optimal Action: right

State: (6, 1, 'down'), Optimal Value: 33.424019
State: (6, 1, 'down'), Optimal Action: left

State: (6, 1, 'left'), Optimal Value: 29.081618
State: (6, 1, 'left'), Optimal Action: right

State: (6, 1, 'right'), Optimal Value: 38.248909
State: (6, 1, 'right'), Optimal Action: forward

State: (7, 1, 'up'), Optimal Value: 38.248909
State: (7, 1, 'up'), Optimal Action: right

State: (7, 1, 'down'), Optimal Value: 38.248909
State: (7, 1, 'down'), Optimal Action: left

State: (7, 1, 'left'), Optimal Value: 33.424019
State: (7, 1, 'left'), Optimal Action: right

State: (7, 1, 'right'), Optimal Value: 43.609898
State: (7, 1, 'right'), Optimal Action: forward

State: (8, 1, 'up'), Optimal Value: 43.609898
State: (8, 1, 'up'), Optimal Action: right

State: (8, 1, 'down'), Optimal Value: 43.609898
State: (8, 1, 'down'), Optimal Action: left

State: (8, 1, 'left'), Optimal Value: 38.248909
State: (8, 1, 'left'), Optimal Action: right

State: (8, 1, 'right'), Optimal Value: 49.566599
State: (8, 1, 'right'), Optimal Action: forward

State: (9, 1, 'up'), Optimal Value: 49.566599
State: (9, 1, 'up'), Optimal Action: right

State: (9, 1, 'down'), Optimal Value: 49.566599
State: (9, 1, 'down'), Optimal Action: left

State: (9, 1, 'left'), Optimal Value: 43.609898
State: (9, 1, 'left'), Optimal Action: right

State: (9, 1, 'right'), Optimal Value: 56.185109
State: (9, 1, 'right'), Optimal Action: forward

State: (10, 1, 'up'), Optimal Value: 56.185109
State: (10, 1, 'up'), Optimal Action: right

State: (10, 1, 'down'), Optimal Value: 56.185109
State: (10, 1, 'down'), Optimal Action: left

State: (10, 1, 'left'), Optimal Value: 49.566599
State: (10, 1, 'left'), Optimal Action: right

State: (10, 1, 'right'), Optimal Value: 63.539009
State: (10, 1, 'right'), Optimal Action: forward

State: (11, 1, 'up'), Optimal Value: 63.539009
State: (11, 1, 'up'), Optimal Action: right

State: (11, 1, 'down'), Optimal Value: 63.539009
State: (11, 1, 'down'), Optimal Action: left

State: (11, 1, 'left'), Optimal Value: 56.185109
State: (11, 1, 'left'), Optimal Action: right

State: (11, 1, 'right'), Optimal Value: 71.710009
State: (11, 1, 'right'), Optimal Action: forward

State: (12, 1, 'up'), Optimal Value: 71.710009
State: (12, 1, 'up'), Optimal Action: right

State: (12, 1, 'down'), Optimal Value: 71.710009
State: (12, 1, 'down'), Optimal Action: left

State: (12, 1, 'left'), Optimal Value: 63.539009
State: (12, 1, 'left'), Optimal Action: right

State: (12, 1, 'right'), Optimal Value: 80.788898
State: (12, 1, 'right'), Optimal Action: forward

State: (13, 1, 'up'), Optimal Value: 80.788898
State: (13, 1, 'up'), Optimal Action: right

State: (13, 1, 'down'), Optimal Value: 80.788898
State: (13, 1, 'down'), Optimal Action: left

State: (13, 1, 'left'), Optimal Value: 71.710009
State: (13, 1, 'left'), Optimal Action: right

State: (13, 1, 'right'), Optimal Value: 90.876599
State: (13, 1, 'right'), Optimal Action: forward

State: (14, 1, 'up'), Optimal Value: 90.876599
State: (14, 1, 'up'), Optimal Action: right

State: (14, 1, 'down'), Optimal Value: 90.876599
State: (14, 1, 'down'), Optimal Action: left

State: (14, 1, 'left'), Optimal Value: 80.788898
State: (14, 1, 'left'), Optimal Action: right

State: (14, 1, 'right'), Optimal Value: 102.085109
