State: (1, 1, 'N'), Optimal Value: 361.597612
State: (1, 1, 'N'), Optimal Action: 2

State: (1, 1, 'S'), Optimal Value: 378.957437
State: (1, 1, 'S'), Optimal Action: 1

State: (1, 1, 'W'), Optimal Value: 359.009519
State: (1, 1, 'W'), Optimal Action: 3

State: (1, 1, 'E'), Optimal Value: 381.681745
State: (1, 1, 'E'), Optimal Action: 1

State: (2, 1, 'N'), Optimal Value: 360.681745
State: (2, 1, 'N'), Optimal Action: 2

State: (2, 1, 'S'), Optimal Value: 360.681745
State: (2, 1, 'S'), Optimal Action: 3

State: (2, 1, 'W'), Optimal Value: 361.059045
State: (2, 1, 'W'), Optimal Action: 1

State: (2, 1, 'E'), Optimal Value: 380.717675
State: (2, 1, 'E'), Optimal Action: 1

State: (3, 1, 'N'), Optimal Value: 359.717675
State: (3, 1, 'N'), Optimal Action: 2

State: (3, 1, 'S'), Optimal Value: 359.717675
State: (3, 1, 'S'), Optimal Action: 3

State: (3, 1, 'W'), Optimal Value: 363.006047
State: (3, 1, 'W'), Optimal Action: 1

State: (3, 1, 'E'), Optimal Value: 379.702865
State: (3, 1, 'E'), Optimal Action: 1

State: (4, 1, 'N'), Optimal Value: 358.702865
State: (4, 1, 'N'), Optimal Action: 2

State: (4, 1, 'S'), Optimal Value: 358.702865
State: (4, 1, 'S'), Optimal Action: 3

State: (4, 1, 'W'), Optimal Value: 364.855698
State: (4, 1, 'W'), Optimal Action: 1

State: (4, 1, 'E'), Optimal Value: 378.634643
State: (4, 1, 'E'), Optimal Action: 1

State: (5, 1, 'N'), Optimal Value: 357.634643
State: (5, 1, 'N'), Optimal Action: 2

State: (5, 1, 'S'), Optimal Value: 357.634643
State: (5, 1, 'S'), Optimal Action: 3

State: (5, 1, 'W'), Optimal Value: 366.612867
State: (5, 1, 'W'), Optimal Action: 1

State: (5, 1, 'E'), Optimal Value: 377.510200
State: (5, 1, 'E'), Optimal Action: 1

State: (6, 1, 'N'), Optimal Value: 356.510200
State: (6, 1, 'N'), Optimal Action: 2

State: (6, 1, 'S'), Optimal Value: 356.510200
State: (6, 1, 'S'), Optimal Action: 3

State: (6, 1, 'W'), Optimal Value: 368.282178
State: (6, 1, 'W'), Optimal Action: 1

State: (6, 1, 'E'), Optimal Value: 376.326575
State: (6, 1, 'E'), Optimal Action: 1

State: (7, 1, 'N'), Optimal Value: 355.326575
State: (7, 1, 'N'), Optimal Action: 2

State: (7, 1, 'S'), Optimal Value: 355.326575
State: (7, 1, 'S'), Optimal Action: 3

State: (7, 1, 'W'), Optimal Value: 369.868022
State: (7, 1, 'W'), Optimal Action: 1

State: (7, 1, 'E'), Optimal Value: 375.080653
State: (7, 1, 'E'), Optimal Action: 1

State: (8, 1, 'N'), Optimal Value: 354.080653
State: (8, 1, 'N'), Optimal Action: 2

State: (8, 1, 'S'), Optimal Value: 354.080653
State: (8, 1, 'S'), Optimal Action: 3

State: (8, 1, 'W'), Optimal Value: 371.374575
State: (8, 1, 'W'), Optimal Action: 1

State: (8, 1, 'E'), Optimal Value: 373.769158
State: (8, 1, 'E'), Optimal Action: 1

State: (9, 1, 'N'), Optimal Value: 353.165464
State: (9, 1, 'N'), Optimal Action: 3

State: (9, 1, 'S'), Optimal Value: 353.165464
State: (9, 1, 'S'), Optimal Action: 2

State: (9, 1, 'W'), Optimal Value: 372.805800
State: (9, 1, 'W'), Optimal Action: 1

State: (9, 1, 'E'), Optimal Value: 372.388636
State: (9, 1, 'E'), Optimal Action: 1

State: (10, 1, 'N'), Optimal Value: 354.457144
State: (10, 1, 'N'), Optimal Action: 3

State: (10, 1, 'S'), Optimal Value: 354.457144
State: (10, 1, 'S'), Optimal Action: 2

State: (10, 1, 'W'), Optimal Value: 374.165464
State: (10, 1, 'W'), Optimal Action: 1

State: (10, 1, 'E'), Optimal Value: 370.935455
State: (10, 1, 'E'), Optimal Action: 1

State: (11, 1, 'N'), Optimal Value: 355.684241
State: (11, 1, 'N'), Optimal Action: 3

State: (11, 1, 'S'), Optimal Value: 355.684241
State: (11, 1, 'S'), Optimal Action: 2

State: (11, 1, 'W'), Optimal Value: 375.457144
State: (11, 1, 'W'), Optimal Action: 1

State: (11, 1, 'E'), Optimal Value: 369.405790
State: (11, 1, 'E'), Optimal Action: 1

State: (12, 1, 'N'), Optimal Value: 356.849983
State: (12, 1, 'N'), Optimal Action: 3

State: (12, 1, 'S'), Optimal Value: 356.849983
State: (12, 1, 'S'), Optimal Action: 2

State: (12, 1, 'W'), Optimal Value: 376.684241
State: (12, 1, 'W'), Optimal Action: 1

State: (12, 1, 'E'), Optimal Value: 367.795617
State: (12, 1, 'E'), Optimal Action: 1

State: (13, 1, 'N'), Optimal Value: 357.957437
State: (13, 1, 'N'), Optimal Action: 3

State: (13, 1, 'S'), Optimal Value: 357.957437
State: (13, 1, 'S'), Optimal Action: 2

State: (13, 1, 'W'), Optimal Value: 377.849983
State: (13, 1, 'W'), Optimal Action: 1

State: (13, 1, 'E'), Optimal Value: 366.100747
State: (13, 1, 'E'), Optimal Action: 1

State: (14, 1, 'N'), Optimal Value: 359.009519
State: (14, 1, 'N'), Optimal Action: 3

State: (14, 1, 'S'), Optimal Value: 384.543810
State: (14, 1, 'S'), Optimal Action: 1

State: (14, 1, 'W'), Optimal Value: 378.957437
State: (14, 1, 'W'), Optimal Action: 1

State: (14, 1, 'E'), Optimal Value: 364.316574
State: (14, 1, 'E'), Optimal Action: 2

State: (1, 14, 'N'), Optimal Value: 380.286014
State: (1, 14, 'N'), Optimal Action: 1

State: (1, 14, 'S'), Optimal Value: 359.009519
State: (1, 14, 'S'), Optimal Action: 3

State: (1, 14, 'W'), Optimal Value: 360.271667
State: (1, 14, 'W'), Optimal Action: 2

State: (1, 14, 'E'), Optimal Value: 378.957437
State: (1, 14, 'E'), Optimal Action: 1

State: (2, 14, 'N'), Optimal Value: 362.145136
State: (2, 14, 'N'), Optimal Action: 3

State: (2, 14, 'S'), Optimal Value: 362.145136
State: (2, 14, 'S'), Optimal Action: 2

State: (2, 14, 'W'), Optimal Value: 382.258086
State: (2, 14, 'W'), Optimal Action: 1

State: (2, 14, 'E'), Optimal Value: 377.849983
State: (2, 14, 'E'), Optimal Action: 1

State: (3, 14, 'N'), Optimal Value: 362.987833
State: (3, 14, 'N'), Optimal Action: 3

State: (3, 14, 'S'), Optimal Value: 362.987833
State: (3, 14, 'S'), Optimal Action: 2

State: (3, 14, 'W'), Optimal Value: 383.145136
State: (3, 14, 'W'), Optimal Action: 1

State: (3, 14, 'E'), Optimal Value: 376.684241
State: (3, 14, 'E'), Optimal Action: 1

State: (4, 14, 'N'), Optimal Value: 363.788395
State: (4, 14, 'N'), Optimal Action: 3

State: (4, 14, 'S'), Optimal Value: 363.788395
State: (4, 14, 'S'), Optimal Action: 2

State: (4, 14, 'W'), Optimal Value: 383.987833
State: (4, 14, 'W'), Optimal Action: 1

State: (4, 14, 'E'), Optimal Value: 375.457144
State: (4, 14, 'E'), Optimal Action: 1

State: (5, 14, 'N'), Optimal Value: 364.548929
State: (5, 14, 'N'), Optimal Action: 3

State: (5, 14, 'S'), Optimal Value: 364.548929
State: (5, 14, 'S'), Optimal Action: 2

State: (5, 14, 'W'), Optimal Value: 384.788395
State: (5, 14, 'W'), Optimal Action: 1

State: (5, 14, 'E'), Optimal Value: 374.165464
State: (5, 14, 'E'), Optimal Action: 1

State: (6, 14, 'N'), Optimal Value: 365.271436
State: (6, 14, 'N'), Optimal Action: 3

State: (6, 14, 'S'), Optimal Value: 365.271436
State: (6, 14, 'S'), Optimal Action: 2

State: (6, 14, 'W'), Optimal Value: 385.548929
State: (6, 14, 'W'), Optimal Action: 1

State: (6, 14, 'E'), Optimal Value: 372.805800
State: (6, 14, 'E'), Optimal Action: 1

State: (7, 14, 'N'), Optimal Value: 365.957818
State: (7, 14, 'N'), Optimal Action: 3

State: (7, 14, 'S'), Optimal Value: 365.957818
State: (7, 14, 'S'), Optimal Action: 2

State: (7, 14, 'W'), Optimal Value: 386.271436
State: (7, 14, 'W'), Optimal Action: 1

State: (7, 14, 'E'), Optimal Value: 371.374575
State: (7, 14, 'E'), Optimal Action: 1

State: (8, 14, 'N'), Optimal Value: 366.609881
State: (8, 14, 'N'), Optimal Action: 3

State: (8, 14, 'S'), Optimal Value: 366.609881
State: (8, 14, 'S'), Optimal Action: 2

State: (8, 14, 'W'), Optimal Value: 386.957818
State: (8, 14, 'W'), Optimal Action: 1

State: (8, 14, 'E'), Optimal Value: 369.868022
State: (8, 14, 'E'), Optimal Action: 1

State: (9, 14, 'N'), Optimal Value: 367.229341
State: (9, 14, 'N'), Optimal Action: 3

State: (9, 14, 'S'), Optimal Value: 367.229341
State: (9, 14, 'S'), Optimal Action: 2

State: (9, 14, 'W'), Optimal Value: 387.609881
State: (9, 14, 'W'), Optimal Action: 1

State: (9, 14, 'E'), Optimal Value: 368.282178
State: (9, 14, 'E'), Optimal Action: 1

State: (10, 14, 'N'), Optimal Value: 367.817827
State: (10, 14, 'N'), Optimal Action: 3

State: (10, 14, 'S'), Optimal Value: 367.817827
State: (10, 14, 'S'), Optimal Action: 2

State: (10, 14, 'W'), Optimal Value: 388.229341
State: (10, 14, 'W'), Optimal Action: 1

State: (10, 14, 'E'), Optimal Value: 366.612867
State: (10, 14, 'E'), Optimal Action: 1

State: (11, 14, 'N'), Optimal Value: 368.376890
State: (11, 14, 'N'), Optimal Action: 3

State: (11, 14, 'S'), Optimal Value: 368.376890
State: (11, 14, 'S'), Optimal Action: 2

State: (11, 14, 'W'), Optimal Value: 388.817827
State: (11, 14, 'W'), Optimal Action: 1

State: (11, 14, 'E'), Optimal Value: 364.855698
State: (11, 14, 'E'), Optimal Action: 1

State: (12, 14, 'N'), Optimal Value: 368.907999
State: (12, 14, 'N'), Optimal Action: 3

State: (12, 14, 'S'), Optimal Value: 368.907999
State: (12, 14, 'S'), Optimal Action: 2

State: (12, 14, 'W'), Optimal Value: 389.376890
State: (12, 14, 'W'), Optimal Action: 1

State: (12, 14, 'E'), Optimal Value: 363.006047
State: (12, 14, 'E'), Optimal Action: 1

State: (13, 14, 'N'), Optimal Value: 369.412553
State: (13, 14, 'N'), Optimal Action: 3

State: (13, 14, 'S'), Optimal Value: 369.412553
State: (13, 14, 'S'), Optimal Action: 2

State: (13, 14, 'W'), Optimal Value: 389.907999
State: (13, 14, 'W'), Optimal Action: 1

State: (13, 14, 'E'), Optimal Value: 361.059045
State: (13, 14, 'E'), Optimal Action: 1

State: (14, 14, 'N'), Optimal Value: 378.957437
State: (14, 14, 'N'), Optimal Action: 1

State: (14, 14, 'S'), Optimal Value: 369.891879
State: (14, 14, 'S'), Optimal Action: 2

State: (14, 14, 'W'), Optimal Value: 390.412553
State: (14, 14, 'W'), Optimal Action: 1

State: (14, 14, 'E'), Optimal Value: 359.009519
State: (14, 14, 'E'), Optimal Action: 3

State: (1, 2, 'N'), Optimal Value: 363.517734
State: (1, 2, 'N'), Optimal Action: 1

State: (1, 2, 'S'), Optimal Value: 377.849983
State: (1, 2, 'S'), Optimal Action: 1

State: (1, 2, 'W'), Optimal Value: 357.957437
State: (1, 2, 'W'), Optimal Action: 3

State: (1, 2, 'E'), Optimal Value: 357.957437
State: (1, 2, 'E'), Optimal Action: 2

State: (1, 3, 'N'), Optimal Value: 365.341801
State: (1, 3, 'N'), Optimal Action: 1

State: (1, 3, 'S'), Optimal Value: 376.684241
State: (1, 3, 'S'), Optimal Action: 1

State: (1, 3, 'W'), Optimal Value: 356.849983
State: (1, 3, 'W'), Optimal Action: 3

State: (1, 3, 'E'), Optimal Value: 356.849983
State: (1, 3, 'E'), Optimal Action: 2

State: (1, 4, 'N'), Optimal Value: 367.074664
State: (1, 4, 'N'), Optimal Action: 1

State: (1, 4, 'S'), Optimal Value: 375.457144
State: (1, 4, 'S'), Optimal Action: 1

State: (1, 4, 'W'), Optimal Value: 355.684241
State: (1, 4, 'W'), Optimal Action: 3

State: (1, 4, 'E'), Optimal Value: 355.684241
State: (1, 4, 'E'), Optimal Action: 2

State: (1, 5, 'N'), Optimal Value: 368.720885
State: (1, 5, 'N'), Optimal Action: 1

State: (1, 5, 'S'), Optimal Value: 374.165464
State: (1, 5, 'S'), Optimal Action: 1

State: (1, 5, 'W'), Optimal Value: 354.457144
State: (1, 5, 'W'), Optimal Action: 3

State: (1, 5, 'E'), Optimal Value: 354.457144
State: (1, 5, 'E'), Optimal Action: 2

State: (1, 6, 'N'), Optimal Value: 370.284794
State: (1, 6, 'N'), Optimal Action: 1

State: (1, 6, 'S'), Optimal Value: 372.805800
State: (1, 6, 'S'), Optimal Action: 1

State: (1, 6, 'W'), Optimal Value: 353.165464
State: (1, 6, 'W'), Optimal Action: 3

State: (1, 6, 'E'), Optimal Value: 353.165464
State: (1, 6, 'E'), Optimal Action: 2

State: (1, 7, 'N'), Optimal Value: 371.770508
State: (1, 7, 'N'), Optimal Action: 1

State: (1, 7, 'S'), Optimal Value: 371.374575
State: (1, 7, 'S'), Optimal Action: 1

State: (1, 7, 'W'), Optimal Value: 352.181937
State: (1, 7, 'W'), Optimal Action: 2

State: (1, 7, 'E'), Optimal Value: 352.181937
State: (1, 7, 'E'), Optimal Action: 3

State: (1, 8, 'N'), Optimal Value: 373.181937
State: (1, 8, 'N'), Optimal Action: 1

State: (1, 8, 'S'), Optimal Value: 369.868022
State: (1, 8, 'S'), Optimal Action: 1

State: (1, 8, 'W'), Optimal Value: 353.522794
State: (1, 8, 'W'), Optimal Action: 2

State: (1, 8, 'E'), Optimal Value: 353.522794
State: (1, 8, 'E'), Optimal Action: 3

State: (1, 9, 'N'), Optimal Value: 374.522794
State: (1, 9, 'N'), Optimal Action: 1

State: (1, 9, 'S'), Optimal Value: 368.282178
State: (1, 9, 'S'), Optimal Action: 1

State: (1, 9, 'W'), Optimal Value: 354.796608
State: (1, 9, 'W'), Optimal Action: 2

State: (1, 9, 'E'), Optimal Value: 354.796608
State: (1, 9, 'E'), Optimal Action: 3

State: (1, 10, 'N'), Optimal Value: 375.796608
State: (1, 10, 'N'), Optimal Action: 1

State: (1, 10, 'S'), Optimal Value: 366.612867
State: (1, 10, 'S'), Optimal Action: 1

State: (1, 10, 'W'), Optimal Value: 356.006731
State: (1, 10, 'W'), Optimal Action: 2

State: (1, 10, 'E'), Optimal Value: 356.006731
