State: (1, 1, 'N'), Optimal Value: 173.037250
State: (1, 1, 'N'), Optimal Action: 1

State: (1, 1, 'S'), Optimal Value: 193.078342
State: (1, 1, 'S'), Optimal Action: 0

State: (1, 1, 'W'), Optimal Value: 172.770465
State: (1, 1, 'W'), Optimal Action: 2

State: (1, 1, 'E'), Optimal Value: 193.374769
State: (1, 1, 'E'), Optimal Action: 0

State: (2, 1, 'N'), Optimal Value: 172.374769
State: (2, 1, 'N'), Optimal Action: 1

State: (2, 1, 'S'), Optimal Value: 172.374769
State: (2, 1, 'S'), Optimal Action: 2

State: (2, 1, 'W'), Optimal Value: 175.493376
State: (2, 1, 'W'), Optimal Action: 0

State: (2, 1, 'E'), Optimal Value: 192.638679
State: (2, 1, 'E'), Optimal Action: 0

State: (3, 1, 'N'), Optimal Value: 171.638679
State: (3, 1, 'N'), Optimal Action: 1

State: (3, 1, 'S'), Optimal Value: 171.638679
State: (3, 1, 'S'), Optimal Action: 2

State: (3, 1, 'W'), Optimal Value: 177.943996
State: (3, 1, 'W'), Optimal Action: 0

State: (3, 1, 'E'), Optimal Value: 191.820752
State: (3, 1, 'E'), Optimal Action: 0

State: (4, 1, 'N'), Optimal Value: 170.820752
State: (4, 1, 'N'), Optimal Action: 1

State: (4, 1, 'S'), Optimal Value: 170.820752
State: (4, 1, 'S'), Optimal Action: 2

State: (4, 1, 'W'), Optimal Value: 180.149554
State: (4, 1, 'W'), Optimal Action: 0

State: (4, 1, 'E'), Optimal Value: 190.911994
State: (4, 1, 'E'), Optimal Action: 0

State: (5, 1, 'N'), Optimal Value: 169.911994
State: (5, 1, 'N'), Optimal Action: 1

State: (5, 1, 'S'), Optimal Value: 169.911994
State: (5, 1, 'S'), Optimal Action: 2

State: (5, 1, 'W'), Optimal Value: 182.134556
State: (5, 1, 'W'), Optimal Action: 0

State: (5, 1, 'E'), Optimal Value: 189.902263
State: (5, 1, 'E'), Optimal Action: 0

State: (6, 1, 'N'), Optimal Value: 168.902263
State: (6, 1, 'N'), Optimal Action: 1

State: (6, 1, 'S'), Optimal Value: 168.902263
State: (6, 1, 'S'), Optimal Action: 2

State: (6, 1, 'W'), Optimal Value: 183.921058
State: (6, 1, 'W'), Optimal Action: 0

State: (6, 1, 'E'), Optimal Value: 188.780339
State: (6, 1, 'E'), Optimal Action: 0

State: (7, 1, 'N'), Optimal Value: 167.780339
State: (7, 1, 'N'), Optimal Action: 1

State: (7, 1, 'S'), Optimal Value: 167.780339
