State: (1, 1, 'N'), Optimal Value: 221.618237
State: (1, 1, 'N'), Optimal Action: 2

State: (1, 1, 'S'), Optimal Value: 222.752602
State: (1, 1, 'S'), Optimal Action: 1

State: (1, 1, 'W'), Optimal Value: 210.614973
State: (1, 1, 'W'), Optimal Action: 3

State: (1, 1, 'E'), Optimal Value: 234.335077
State: (1, 1, 'E'), Optimal Action: 1

State: (2, 1, 'N'), Optimal Value: 234.335077
State: (2, 1, 'N'), Optimal Action: 2

State: (2, 1, 'S'), Optimal Value: 234.335077
State: (2, 1, 'S'), Optimal Action: 3

State: (2, 1, 'W'), Optimal Value: 223.084226
State: (2, 1, 'W'), Optimal Action: 1

State: (2, 1, 'E'), Optimal Value: 247.721132
State: (2, 1, 'E'), Optimal Action: 1

State: (3, 1, 'N'), Optimal Value: 247.721132
State: (3, 1, 'N'), Optimal Action: 2

State: (3, 1, 'S'), Optimal Value: 247.721132
State: (3, 1, 'S'), Optimal Action: 3

State: (3, 1, 'W'), Optimal Value: 234.335077
State: (3, 1, 'W'), Optimal Action: 2

State: (3, 1, 'E'), Optimal Value: 261.811742
State: (3, 1, 'E'), Optimal Action: 1

State: (4, 1, 'N'), Optimal Value: 261.811742
State: (4, 1, 'N'), Optimal Action: 2

State: (4, 1, 'S'), Optimal Value: 261.811742
State: (4, 1, 'S'), Optimal Action: 3

State: (4, 1, 'W'), Optimal Value: 247.721132
State: (4, 1, 'W'), Optimal Action: 2

State: (4, 1, 'E'), Optimal Value: 276.643937
State: (4, 1, 'E'), Optimal Action: 1

State: (5, 1, 'N'), Optimal Value: 240.643937
State: (5, 1, 'N'), Optimal Action: 2

State: (5, 1, 'S'), Optimal Value: 240.643937
State: (5, 1, 'S'), Optimal Action: 3

State: (5, 1, 'W'), Optimal Value: 234.335077
State: (5, 1, 'W'), Optimal Action: 1

State: (5, 1, 'E'), Optimal Value: 254.362136
State: (5, 1, 'E'), Optimal Action: 1

State: (6, 1, 'N'), Optimal Value: 254.362136
State: (6, 1, 'N'), Optimal Action: 2

State: (6, 1, 'S'), Optimal Value: 254.362136
State: (6, 1, 'S'), Optimal Action: 3

State: (6, 1, 'W'), Optimal Value: 257.618237
State: (6, 1, 'W'), Optimal Action: 1

State: (6, 1, 'E'), Optimal Value: 268.802247
State: (6, 1, 'E'), Optimal Action: 1

State: (7, 1, 'N'), Optimal Value: 268.802247
State: (7, 1, 'N'), Optimal Action: 2

State: (7, 1, 'S'), Optimal Value: 268.802247
State: (7, 1, 'S'), Optimal Action: 3

State: (7, 1, 'W'), Optimal Value: 254.362136
State: (7, 1, 'W'), Optimal Action: 2

State: (7, 1, 'E'), Optimal Value: 284.002364
State: (7, 1, 'E'), Optimal Action: 1

State: (8, 1, 'N'), Optimal Value: 284.002364
State: (8, 1, 'N'), Optimal Action: 2

State: (8, 1, 'S'), Optimal Value: 284.002364
State: (8, 1, 'S'), Optimal Action: 3

State: (8, 1, 'W'), Optimal Value: 268.802247
State: (8, 1, 'W'), Optimal Action: 2

State: (8, 1, 'E'), Optimal Value: 300.002487
State: (8, 1, 'E'), Optimal Action: 1

State: (9, 1, 'N'), Optimal Value: 300.002487
State: (9, 1, 'N'), Optimal Action: 2

State: (9, 1, 'S'), Optimal Value: 300.002487
State: (9, 1, 'S'), Optimal Action: 3

State: (9, 1, 'W'), Optimal Value: 284.002364
State: (9, 1, 'W'), Optimal Action: 2

State: (9, 1, 'E'), Optimal Value: 316.844813
State: (9, 1, 'E'), Optimal Action: 1

State: (10, 1, 'N'), Optimal Value: 268.844813
State: (10, 1, 'N'), Optimal Action: 2

State: (10, 1, 'S'), Optimal Value: 300.049677
State: (10, 1, 'S'), Optimal Action: 1

State: (10, 1, 'W'), Optimal Value: 284.047171
State: (10, 1, 'W'), Optimal Action: 3

State: (10, 1, 'E'), Optimal Value: 284.047171
State: (10, 1, 'E'), Optimal Action: 2

State: (1, 10, 'N'), Optimal Value: 280.426477
State: (1, 10, 'N'), Optimal Action: 1

State: (1, 10, 'S'), Optimal Value: 348.844986
State: (1, 10, 'S'), Optimal Action: 3

State: (1, 10, 'W'), Optimal Value: 330.402652
State: (1, 10, 'W'), Optimal Action: 3

State: (1, 10, 'E'), Optimal Value: 368.257879
State: (1, 10, 'E'), Optimal Action: 1

State: (2, 10, 'N'), Optimal Value: 387.438395
State: (2, 10, 'N'), Optimal Action: 3

State: (2, 10, 'S'), Optimal Value: 387.438395
State: (2, 10, 'S'), Optimal Action: 2

State: (2, 10, 'W'), Optimal Value: 408.882520
State: (2, 10, 'W'), Optimal Action: 1

State: (2, 10, 'E'), Optimal Value: 388.692528
State: (2, 10, 'E'), Optimal Action: 1

State: (3, 10, 'N'), Optimal Value: 388.692528
State: (3, 10, 'N'), Optimal Action: 2

State: (3, 10, 'S'), Optimal Value: 388.692528
State: (3, 10, 'S'), Optimal Action: 3

State: (3, 10, 'W'), Optimal Value: 387.438395
State: (3, 10, 'W'), Optimal Action: 1

State: (3, 10, 'E'), Optimal Value: 410.202660
State: (3, 10, 'E'), Optimal Action: 1

State: (4, 10, 'N'), Optimal Value: 410.202660
State: (4, 10, 'N'), Optimal Action: 2

State: (4, 10, 'S'), Optimal Value: 410.202660
State: (4, 10, 'S'), Optimal Action: 3

State: (4, 10, 'W'), Optimal Value: 388.692528
State: (4, 10, 'W'), Optimal Action: 2

State: (4, 10, 'E'), Optimal Value: 432.845002
State: (4, 10, 'E'), Optimal Action: 1

State: (5, 10, 'N'), Optimal Value: 348.845002
State: (5, 10, 'N'), Optimal Action: 2

State: (5, 10, 'S'), Optimal Value: 348.845002
State: (5, 10, 'S'), Optimal Action: 3

State: (5, 10, 'W'), Optimal Value: 368.257879
State: (5, 10, 'W'), Optimal Action: 1

State: (5, 10, 'E'), Optimal Value: 368.257895
State: (5, 10, 'E'), Optimal Action: 1

State: (6, 10, 'N'), Optimal Value: 410.202652
State: (6, 10, 'N'), Optimal Action: 3

State: (6, 10, 'S'), Optimal Value: 410.202652
State: (6, 10, 'S'), Optimal Action: 2

State: (6, 10, 'W'), Optimal Value: 432.844986
State: (6, 10, 'W'), Optimal Action: 1

State: (6, 10, 'E'), Optimal Value: 388.692520
State: (6, 10, 'E'), Optimal Action: 2

State: (7, 10, 'N'), Optimal Value: 388.692520
State: (7, 10, 'N'), Optimal Action: 3

State: (7, 10, 'S'), Optimal Value: 388.692520
State: (7, 10, 'S'), Optimal Action: 2

State: (7, 10, 'W'), Optimal Value: 410.202652
State: (7, 10, 'W'), Optimal Action: 1

State: (7, 10, 'E'), Optimal Value: 368.257895
State: (7, 10, 'E'), Optimal Action: 2

State: (8, 10, 'N'), Optimal Value: 368.257895
State: (8, 10, 'N'), Optimal Action: 3

State: (8, 10, 'S'), Optimal Value: 368.257895
State: (8, 10, 'S'), Optimal Action: 2

State: (8, 10, 'W'), Optimal Value: 388.692520
State: (8, 10, 'W'), Optimal Action: 1

State: (8, 10, 'E'), Optimal Value: 348.845002
State: (8, 10, 'E'), Optimal Action: 2

State: (9, 10, 'N'), Optimal Value: 348.845002
State: (9, 10, 'N'), Optimal Action: 3

State: (9, 10, 'S'), Optimal Value: 348.845002
State: (9, 10, 'S'), Optimal Action: 2

State: (9, 10, 'W'), Optimal Value: 368.257895
State: (9, 10, 'W'), Optimal Action: 1

State: (9, 10, 'E'), Optimal Value: 368.238379
State: (9, 10, 'E'), Optimal Action: 1

State: (10, 10, 'N'), Optimal Value: 330.402660
State: (10, 10, 'N'), Optimal Action: 3

State: (10, 10, 'S'), Optimal Value: 330.402660
State: (10, 10, 'S'), Optimal Action: 2

State: (10, 10, 'W'), Optimal Value: 348.845002
State: (10, 10, 'W'), Optimal Action: 1

State: (10, 10, 'E'), Optimal Value: 312.882528
State: (10, 10, 'E'), Optimal Action: 2

State: (1, 2, 'N'), Optimal Value: 233.537327
State: (1, 2, 'N'), Optimal Action: 1

State: (1, 2, 'S'), Optimal Value: 235.529145
State: (1, 2, 'S'), Optimal Action: 1

State: (1, 2, 'W'), Optimal Value: 222.752602
State: (1, 2, 'W'), Optimal Action: 3

State: (1, 2, 'E'), Optimal Value: 222.752602
State: (1, 2, 'E'), Optimal Action: 2

State: (1, 3, 'N'), Optimal Value: 222.752602
State: (1, 3, 'N'), Optimal Action: 2

State: (1, 3, 'S'), Optimal Value: 248.978046
State: (1, 3, 'S'), Optimal Action: 1

State: (1, 3, 'W'), Optimal Value: 235.529145
State: (1, 3, 'W'), Optimal Action: 3

State: (1, 3, 'E'), Optimal Value: 235.529145
State: (1, 3, 'E'), Optimal Action: 2

State: (1, 4, 'N'), Optimal Value: 235.529145
State: (1, 4, 'N'), Optimal Action: 2

State: (1, 4, 'S'), Optimal Value: 263.134809
State: (1, 4, 'S'), Optimal Action: 1

State: (1, 4, 'W'), Optimal Value: 248.978046
State: (1, 4, 'W'), Optimal Action: 3

State: (1, 4, 'E'), Optimal Value: 248.978046
State: (1, 4, 'E'), Optimal Action: 2

State: (1, 5, 'N'), Optimal Value: 237.578046
State: (1, 5, 'N'), Optimal Action: 2

State: (1, 5, 'S'), Optimal Value: 265.405061
State: (1, 5, 'S'), Optimal Action: 1

State: (1, 5, 'W'), Optimal Value: 251.134809
State: (1, 5, 'W'), Optimal Action: 3

State: (1, 5, 'E'), Optimal Value: 251.134809
State: (1, 5, 'E'), Optimal Action: 2

State: (1, 6, 'N'), Optimal Value: 251.134809
State: (1, 6, 'N'), Optimal Action: 2

State: (1, 6, 'S'), Optimal Value: 280.426477
State: (1, 6, 'S'), Optimal Action: 1

State: (1, 6, 'W'), Optimal Value: 265.405061
State: (1, 6, 'W'), Optimal Action: 3

State: (1, 6, 'E'), Optimal Value: 265.405061
State: (1, 6, 'E'), Optimal Action: 2

State: (1, 7, 'N'), Optimal Value: 265.405061
State: (1, 7, 'N'), Optimal Action: 2

State: (1, 7, 'S'), Optimal Value: 296.238395
State: (1, 7, 'S'), Optimal Action: 1

State: (1, 7, 'W'), Optimal Value: 280.426477
State: (1, 7, 'W'), Optimal Action: 3

State: (1, 7, 'E'), Optimal Value: 280.426477
State: (1, 7, 'E'), Optimal Action: 2

State: (1, 8, 'N'), Optimal Value: 280.426477
State: (1, 8, 'N'), Optimal Action: 2

State: (1, 8, 'S'), Optimal Value: 312.882520
State: (1, 8, 'S'), Optimal Action: 1

State: (1, 8, 'W'), Optimal Value: 296.238395
State: (1, 8, 'W'), Optimal Action: 3

State: (1, 8, 'E'), Optimal Value: 296.238395
State: (1, 8, 'E'), Optimal Action: 2

State: (1, 9, 'N'), Optimal Value: 296.238395
State: (1, 9, 'N'), Optimal Action: 2

State: (1, 9, 'S'), Optimal Value: 330.402652
State: (1, 9, 'S'), Optimal Action: 1

State: (1, 9, 'W'), Optimal Value: 312.882520
State: (1, 9, 'W'), Optimal Action: 3

State: (1, 9, 'E'), Optimal Value: 312.882520
State: (1, 9, 'E'), Optimal Action: 2

State: (10, 2, 'N'), Optimal Value: 302.402487
State: (10, 2, 'N'), Optimal Action: 1

State: (10, 2, 'S'), Optimal Value: 316.894396
State: (10, 2, 'S'), Optimal Action: 1

State: (10, 2, 'W'), Optimal Value: 300.049677
State: (10, 2, 'W'), Optimal Action: 3

State: (10, 2, 'E'), Optimal Value: 300.049677
State: (10, 2, 'E'), Optimal Action: 2

State: (10, 3, 'N'), Optimal Value: 300.049677
State: (10, 3, 'N'), Optimal Action: 2

State: (10, 3, 'S'), Optimal Value: 334.625777
State: (10, 3, 'S'), Optimal Action: 1

State: (10, 3, 'W'), Optimal Value: 316.894396
State: (10, 3, 'W'), Optimal Action: 3

State: (10, 3, 'E'), Optimal Value: 316.894396
State: (10, 3, 'E'), Optimal Action: 2

State: (10, 4, 'N'), Optimal Value: 316.894396
State: (10, 4, 'N'), Optimal Action: 2

State: (10, 4, 'S'), Optimal Value: 353.290290
State: (10, 4, 'S'), Optimal Action: 1

State: (10, 4, 'W'), Optimal Value: 334.625777
State: (10, 4, 'W'), Optimal Action: 3

State: (10, 4, 'E'), Optimal Value: 334.625777
State: (10, 4, 'E'), Optimal Action: 2

State: (10, 5, 'N'), Optimal Value: 300.049677
State: (10, 5, 'N'), Optimal Action: 1

State: (10, 5, 'S'), Optimal Value: 309.779251
State: (10, 5, 'S'), Optimal Action: 1

State: (10, 5, 'W'), Optimal Value: 293.290290
State: (10, 5, 'W'), Optimal Action: 3

State: (10, 5, 'E'), Optimal Value: 293.290290
State: (10, 5, 'E'), Optimal Action: 2

State: (10, 6, 'N'), Optimal Value: 344.047171
State: (10, 6, 'N'), Optimal Action: 1

State: (10, 6, 'S'), Optimal Value: 327.136053
State: (10, 6, 'S'), Optimal Action: 1

State: (10, 6, 'W'), Optimal Value: 325.844813
State: (10, 6, 'W'), Optimal Action: 2

State: (10, 6, 'E'), Optimal Value: 325.844813
State: (10, 6, 'E'), Optimal Action: 3

State: (10, 7, 'N'), Optimal Value: 325.844813
State: (10, 7, 'N'), Optimal Action: 1

State: (10, 7, 'S'), Optimal Value: 345.406461
State: (10, 7, 'S'), Optimal Action: 1

State: (10, 7, 'W'), Optimal Value: 327.136053
State: (10, 7, 'W'), Optimal Action: 3

State: (10, 7, 'E'), Optimal Value: 327.136053
State: (10, 7, 'E'), Optimal Action: 2

State: (10, 8, 'N'), Optimal Value: 327.136053
State: (10, 8, 'N'), Optimal Action: 2

State: (10, 8, 'S'), Optimal Value: 364.638379
State: (10, 8, 'S'), Optimal Action: 1

State: (10, 8, 'W'), Optimal Value: 345.406461
State: (10, 8, 'W'), Optimal Action: 3

State: (10, 8, 'E'), Optimal Value: 345.406461
State: (10, 8, 'E'), Optimal Action: 2

State: (10, 9, 'N'), Optimal Value: 345.406461
State: (10, 9, 'N'), Optimal Action: 2

State: (10, 9, 'S'), Optimal Value: 384.882528
State: (10, 9, 'S'), Optimal Action: 1

State: (10, 9, 'W'), Optimal Value: 364.638379
State: (10, 9, 'W'), Optimal Action: 3

State: (10, 9, 'E'), Optimal Value: 364.638379
State: (10, 9, 'E'), Optimal Action: 2

