EPISODE:  1


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -16
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -4
Time-step:  5000 , Current reward:  1
Time-step:  5500 , Current reward:  -231
Time-step:  6000 , Current reward:  -31


EPISODE:  2


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -16
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  1
Time-step:  3500 , Current reward:  -4
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -21


EPISODE:  3


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  -16
Time-step:  1500 , Current reward:  -21
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -16
Time-step:  6000 , Current reward:  -16


EPISODE:  4


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -9
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -16
Time-step:  3000 , Current reward:  1
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  1
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -14
Time-step:  6000 , Current reward:  -21


EPISODE:  5


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -221
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -9
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -16
Time-step:  6000 , Current reward:  -4


Episode 5	Loss: 35061.25	Total Reward: -137359.00	Epsilon: 0.188000
EPISODE:  6


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -31


EPISODE:  7


Time-step:  500 , Current reward:  -26
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -21
