Episode,Total Reward
0,-112749
1,-144725
2,-136895
3,-90329
4,-137359
5,-184409
6,-135700
7,-249177
8,-142678
9,-150515
10,-92563
11,-137363
12,-93315
13,-100518
14,-80024
15,-89246
16,-117687
17,-109343
18,-78402
19,-98742
20,-98807
21,-116261
22,-74053
23,-78024
24,-83035
25,-64100
26,-46587
27,-39226
28,-3879
29,-1259
30,-29372
31,3919
32,5626
33,5742
34,5626
35,3945
36,5214
37,4766
38,4765
39,2629
40,5019
41,4300
42,5009
43,5278
44,3500
45,5762
46,5539
47,5566
48,5403
49,1891
50,4436
51,5900
52,5453
53,5880
54,4685
55,5388
56,6213
57,5233
58,5521
59,5594
60,2676
61,-31831
62,4703
63,-13633
64,903
65,5311
66,-7491
67,-4082
68,511
69,2053
70,4780
71,499
72,-3893
73,-5907
74,-12501
75,4997
76,-5088
77,-7594
78,-13599
79,5783
80,823
81,-1586
82,3423
83,1389
84,1308
85,-509
86,901
87,-3024
88,5490
89,2696
90,4372
91,2378
92,3782
93,-1949
94,6703
95,201
96,5638
97,676
98,-826
99,6319
100,3004
101,-2658
102,2279
103,6610
104,6883
105,-450
106,4840
107,1486
108,-873
109,-8296
110,5472
111,6156
112,1391
113,1672
114,663
115,-2786
116,-30251
117,-10892
118,5145
119,-20526
120,1874
121,-29347
122,2908
123,-5143
124,-14362
125,6852
126,-3378
127,4652
128,-8595
129,4958
130,6508
131,6763
132,3292
133,3983
134,6415
135,3311
136,5871
137,-4221
138,6906
139,6308
140,4617
141,5599
142,4400
143,-12183
144,5406
145,4400
146,6832
147,3456
148,6376
149,-11375
150,6996
151,-946
152,-215
153,-16017
154,6978
155,5989
156,3650
157,-5349
158,5854
159,5489
160,2084
161,6083
162,5708
163,6563
164,4299
165,1833
166,1518
167,648
168,5692
169,2986
170,-2389
171,-3441
172,-114
173,60
174,-5612
175,-20222
176,1298
177,-9303
178,5308
179,717
180,-27117
181,-4571
182,-237
183,-6196
184,-314
185,-6798
186,1290
187,1476
188,4171
189,-23905
190,5325
191,-2114
192,2582
193,5266
194,2091
195,3424
196,4617
197,3018
198,4515
199,3242
200,4722
201,4666
202,5130
203,5315
204,4620
205,3117
206,4631
207,3684
208,4923
209,-23268
210,5326
211,-8177
212,2458
213,3378
214,3516
215,3897
216,5499
217,-161721
218,4463
219,-193490
220,-16847
221,-87829
222,-116750
223,-14793
224,2677
225,3735
226,-136726
227,6275
228,4531
229,-419
230,5770
231,2156
232,3269
233,-4177
234,5891
235,-6139
236,-943
237,-28428
238,-35643
239,5452
240,2982
241,-2374
242,2256
243,1679
244,536
245,-3674
246,2689
247,-366
248,-6208
249,4452
250,3147
251,1153
252,4623
253,-1302
254,722
255,2844
256,-14250
257,-6159
258,3852
259,-12320
260,-5339
261,1811
262,4451
263,-1840
264,2584
265,5941
266,-911
267,4151
268,3221
269,2033
270,-11741
271,-5768
272,-3388
273,-9929
274,-25421
275,-39970
276,1358
277,-4620
278,-8527
279,-10163
280,-22084
281,-11763
282,-9380
283,-32870
284,-11867
285,-5029
286,-26464
287,-8030
288,-17942
289,-13201
290,-2665
291,-49005
292,-4710
293,-8280
294,-5099
295,-48269
296,-26889
297,526
298,-19226
299,-26693
