Episode,Total Reward
0,-149530
1,-145312
2,-143316
3,-96028
4,-133286
5,-142102
6,-161028
7,-159126
8,-126154
9,-165090
10,-142994
11,-153810
12,-100153
13,-52203
14,-140798
15,-130336
16,-134546
17,-127030
18,-77510
19,-4596
20,-111164
21,-2107
22,-34110
23,-78186
24,-1347
25,-121102
26,-51265
27,-47025
28,-16098
29,-91654
30,-5503
31,-94842
32,-113426
33,-136350
34,-32160
35,-94060
36,-80350
37,-2741
38,-70027
39,-4208
40,1020
41,-1019
42,-23913
43,-33521
44,-52608
45,-123524
46,-38674
47,-14639
48,-122614
49,-89320
50,-158154
51,-50087
52,-4723
53,5488
54,-87488
55,-118304
56,-83454
57,-19832
58,-575
59,-104400
60,-1537
61,4627
62,-36362
63,877
64,-10758
65,-50997
66,-38295
67,2828
68,2635
69,4410
70,-28113
71,-23101
72,-15852
73,-14064
74,-1365
75,-54363
76,-57344
77,-46718
78,-21850
79,-57310
80,-36027
81,-47096
82,-117494
83,-7647
84,-33512
85,-94768
86,-116266
87,-25279
88,-9638
89,-40400
90,-40275
91,-1041
92,-54086
93,-63069
94,-25802
95,-70402
96,-61725
97,-68352
98,-38513
99,-117606
100,-9064
101,-69498
102,-116086
103,-88140
104,-126396
105,-95682
106,-78710
107,-110670
108,-135050
109,-86465
110,-65172
111,-22861
112,-42768
113,-29295
114,-75214
115,-58013
116,-94366
117,-72024
118,-148176
119,-78734
120,-65749
121,-47000
122,-103408
123,-115818
124,-136916
125,-55719
126,-112070
127,-68596
128,-122792
129,-4831
130,-142706
131,-27360
132,-65558
133,-124164
134,-73366
135,-74950
136,-119638
137,-92988
138,-17283
139,-58258
140,-114188
141,-46741
142,-47903
143,-12781
144,-60002
145,-19557
146,-25220
147,-15272
148,-20200
149,-10011
150,-24577
151,-6992
152,-13455
153,-8088
154,-23222
155,-16569
156,-26218
157,-16016
158,-7069
159,-26278
160,-15717
161,-16239
162,-9757
163,-26908
164,-22574
165,-15595
166,-18511
167,-11787
168,-20198
169,-26730
170,-93565
171,-167630
172,-151988
173,-40751
174,-132112
175,-66874
176,-55421
177,-111402
178,-63343
179,-56846
180,-13759
181,-6581
182,-18220
183,-16976
184,-145154
185,-52220
186,-87698
187,-52108
188,-17331
189,-185182
190,-14934
191,-9814
192,-7241
193,-64930
194,-66438
195,-47696
196,-12607
197,-5318
198,-20403
199,-39626
200,-37537
201,-17210
202,-7886
203,-8752
204,-25104
205,-18489
206,-50742
207,-64748
208,-15535
209,-46175
210,-41806
211,-33490
212,-21531
213,-6001
214,-7219
215,-4215
216,-36246
217,-25764
218,-16807
219,-4009
220,-51152
221,-13946
222,-17997
223,-26917
224,-21990
225,-34015
226,-14413
227,-70049
228,-11031
229,-43698
230,-27817
231,-11117
232,-28268
233,-33339
234,-39405
235,-54247
236,-60207
237,-31679
238,-74428
239,-116374
240,-19581
241,-25468
242,-142995
243,-24219
244,-9586
245,-10892
246,-9639
247,-10068
248,-68560
249,-16533
250,-24032
251,-157266
252,-16560
253,-20819
254,-15956
255,-2233
256,-16994
257,-10168
258,-35061
259,-22383
260,228
261,-2465
262,901
263,-2127
264,-3254
265,-3511
266,-3751
267,-7453
268,-129062
269,-5853
270,-15058
271,-4785
272,-9879
273,-3377
274,-21285
275,-80288
276,-5827
277,-21480
278,-20854
279,-6998
280,-8893
281,-11306
282,-14101
283,-22674
284,-28584
285,-24329
286,-9849
287,-15598
288,-16048
289,-7678
290,-9154
291,-191086
292,-59821
293,-23542
294,-4810
295,-20659
296,-196080
297,-14668
298,-194426
299,-17241
