Episode,Total Reward
0,-43225
1,-46400
2,-47355
3,-37065
4,-42690
5,-31345
6,-43080
7,-44525
8,-41080
9,-44530
10,-47175
11,-46395
12,-49100
13,-47425
14,-28075
15,-56050
16,-32330
17,-32060
18,-32715
19,-32450
20,-27055
21,-30485
22,-23650
23,-31545
24,-30000
25,-24795
26,-32740
27,-22975
28,-46390
29,-28070
30,-21675
31,-22460
32,-22945
33,-33520
34,-30335
35,-27100
36,-28640
37,-34960
38,-27525
39,-33800
40,-35900
41,-34130
42,-35110
43,-34840
44,-25675
45,-31770
46,-27405
47,-30850
48,-27540
49,-29475
50,-24065
51,-19010
52,-25615
53,-31865
54,-30360
55,-19310
56,-30060
57,-26680
58,-24820
59,-29895
60,-28290
61,-23035
62,-24935
63,-20765
64,-23985
65,-26870
66,-8565
67,-19225
68,-17260
69,-16725
70,-16375
71,-15435
72,-31085
73,-17315
74,-28135
75,-19605
76,-22095
77,-20815
78,-25930
79,-23845
80,-22045
81,-24395
82,-25295
83,-26705
84,-17825
85,-23015
86,-27260
87,-18615
88,-31505
89,-21850
90,-15065
91,-14410
92,-27825
93,-8940
94,-18655
95,-15425
96,-20160
97,-25245
98,-33020
99,-12975
100,-11205
101,-17500
102,-15790
103,-13820
104,-15180
105,-13960
106,-11975
107,-23680
108,-8130
109,-19290
110,-7975
111,-32950
112,-14970
113,-24555
114,-4195
115,-5220
116,-18405
117,-5225
118,-17790
119,-405
120,-8705
121,-10040
122,-11450
123,-27515
124,1080
125,-210
126,-505
127,-8760
128,4260
129,-40
130,1000
131,1880
132,-13625
133,2090
134,4365
135,-5105
136,2965
137,570
138,-15105
139,4290
140,-2800
141,-5185
142,-8525
143,-140
144,-15590
145,5005
146,-9695
147,-12040
148,4665
149,-10550
150,4815
151,-355
152,5305
153,1120
154,3850
155,-24495
156,2380
157,-4605
158,-55
159,5295
160,-330
161,5575
162,-3015
163,3225
164,-605
165,1905
166,-8830
167,-3780
168,-4305
169,-8630
170,2330
171,-2940
172,-445
173,-2970
174,-2335
175,-3285
176,350
177,2030
178,1910
179,-855
180,555
181,3670
182,2405
183,-1180
184,-7895
185,-14830
186,-21905
187,-16605
188,-44085
189,-29625
190,-9330
191,-2910
192,-14730
193,-21350
194,-4485
195,-12145
196,1850
197,2465
198,2325
199,3400
