Episode,Total Reward
0,-136691
1,-95027
2,-118832
3,-97858
4,-154722
5,-144039
6,-150718
7,-153679
8,-148561
9,-91801
10,-101857
11,-121062
12,-128766
13,-140062
14,-63051
15,-218132
16,-33410
17,-135688
18,-65557
19,-12531
20,-138320
21,-8926
22,-74238
23,-37766
24,-111096
25,-61626
26,-24123
27,-1009
28,-34187
29,-35533
30,83
31,-23793
32,-30549
33,-48
34,5228
35,4652
36,5095
37,5816
38,5237
39,6353
40,6644
41,-851
42,4948
43,5354
44,4292
45,5168
46,4090
47,5678
48,5537
49,5961
50,6010
51,-5233
52,3701
53,6562
54,4994
55,5404
56,6003
57,6490
58,5043
59,-993
60,-4283
61,-1675
62,-7096
63,-5935
64,-7377
65,-19392
66,-2934
67,-1333
68,5274
69,-33040
70,-12533
71,3324
72,510
73,6057
74,-60331
75,3476
76,6016
77,2282
78,1900
79,2981
80,6438
81,2434
82,4892
83,-9070
84,6832
85,6710
86,6700
87,6226
88,-1603
89,4826
90,-5373
91,-1654
92,4738
93,6833
94,6833
95,1881
96,5333
97,2094
98,4349
99,1036
100,1247
101,-16832
102,-11732
103,1969
104,-4442
105,-5340
106,378
107,-2931
108,-7832
109,-26928
110,-8714
111,361
112,-100696
113,-16018
114,-3295
115,-2643
116,-11192
117,158
118,-12523
119,2966
120,6381
121,1641
122,-214
123,1246
124,4700
125,-7647
126,6391
127,-11280
128,5905
129,-10194
130,-3405
131,6114
132,-13525
133,7536
134,-2953
135,-1764
136,3693
137,2789
138,-2605
139,3593
140,3496
141,709
142,3240
143,700
144,6590
145,6346
146,-187
147,5706
148,-69102
149,-12916
150,-114399
151,-93709
152,5611
153,-1148
154,-90129
155,-17487
156,3750
157,-18936
158,-16384
159,-12598
160,-8779
161,-7146
162,6034
163,4479
164,5693
165,2521
166,3742
167,4710
168,4926
169,2036
170,-8739
171,-38298
172,1401
173,3545
174,1544
175,3973
176,3886
177,451
178,4047
179,3222
180,4151
181,4309
182,4173
183,6244
184,3719
185,6449
186,3319
187,4814
188,3943
189,2852
190,5871
191,6156
192,4919
193,-10437
194,-128862
195,1542
196,1122
197,406
198,2841
199,4347
