EPISODE:  1


Time-step:  500 , Current reward:  -4
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  -4
Time-step:  2500 , Current reward:  -9
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -16


EPISODE:  2


Time-step:  500 , Current reward:  -16
Time-step:  1000 , Current reward:  -16
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  1
Time-step:  3500 , Current reward:  1
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -21
Time-step:  6000 , Current reward:  -4


EPISODE:  3


Time-step:  500 , Current reward:  -16
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  1
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -4
Time-step:  5500 , Current reward:  -14
Time-step:  6000 , Current reward:  -21


EPISODE:  4


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -21
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -21


EPISODE:  5


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  -14
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -9
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -31


Episode 5	Loss: 412.48	Total Reward: -154722.00	Epsilon: 0.094000
EPISODE:  6


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -14
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -21
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  -221
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -21
Time-step:  6000 , Current reward:  -16


EPISODE:  7


Time-step:  500 , Current reward:  -221
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  -14
Time-step:  3500 , Current reward:  -21
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -14
Time-step:  5500 , Current reward:  1
Time-step:  6000 , Current reward:  -31


EPISODE:  8


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -16
Time-step:  1500 , Current reward:  -21
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -4
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -221
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -21


EPISODE:  9


Time-step:  500 , Current reward:  -31
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -4
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -4
Time-step:  5000 , Current reward:  -16
Time-step:  5500 , Current reward:  1
Time-step:  6000 , Current reward:  -21


EPISODE:  10


Time-step:  500 , Current reward:  -4
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  -21
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -21
GOAL REACHED SUCCESSFULLY!


Episode 10	Loss: 578.69	Total Reward: -91801.00	Epsilon: 0.088226
EPISODE:  11


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -4
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -16
Time-step:  6000 , Current reward:  -21


EPISODE:  12


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  1
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -16
Time-step:  5500 , Current reward:  -21
Time-step:  6000 , Current reward:  -16


EPISODE:  13


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -4
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  1
Time-step:  5000 , Current reward:  -9
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -31


EPISODE:  14


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -4
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  -4
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -26
Time-step:  3500 , Current reward:  -21
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  -21
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -21
Time-step:  6000 , Current reward:  -31


EPISODE:  15


Time-step:  500 , Current reward:  -4
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  -14
Time-step:  2000 , Current reward:  -14
Time-step:  2500 , Current reward:  -16
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  1
Time-step:  4000 , Current reward:  1
Time-step:  4500 , Current reward:  1
Time-step:  5000 , Current reward:  -21
Time-step:  5500 , Current reward:  -4
Time-step:  6000 , Current reward:  -4


Episode 15	Loss: 969.68	Total Reward: -63051.00	Epsilon: 0.082226
EPISODE:  16


Time-step:  500 , Current reward:  -16
Time-step:  1000 , Current reward:  -31
Time-step:  1500 , Current reward:  -31
Time-step:  2000 , Current reward:  -31
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -21
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -221
Time-step:  5000 , Current reward:  -26
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -31


EPISODE:  17


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  -4
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -21
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  1
Time-step:  3500 , Current reward:  -16
GOAL REACHED SUCCESSFULLY!


EPISODE:  18


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -4
Time-step:  2500 , Current reward:  -21
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -31
Time-step:  6000 , Current reward:  -31


EPISODE:  19


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  -21
Time-step:  2000 , Current reward:  -4
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -16
Time-step:  4000 , Current reward:  -16
Time-step:  4500 , Current reward:  -4
Time-step:  5000 , Current reward:  1
Time-step:  5500 , Current reward:  -16
Time-step:  6000 , Current reward:  -16


EPISODE:  20


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  -21
GOAL REACHED SUCCESSFULLY!


Episode 20	Loss: 1007.12	Total Reward: -12531.00	Epsilon: 0.077277
EPISODE:  21


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  -21
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -14
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -14
Time-step:  3500 , Current reward:  -26
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -31
Time-step:  5500 , Current reward:  -21
Time-step:  6000 , Current reward:  -31


EPISODE:  22


Time-step:  500 , Current reward:  -21
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  -4
GOAL REACHED SUCCESSFULLY!


EPISODE:  23


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  -4
Time-step:  1500 , Current reward:  -4
Time-step:  2000 , Current reward:  1
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -21
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -21
Time-step:  4500 , Current reward:  -16
Time-step:  5000 , Current reward:  -16
Time-step:  5500 , Current reward:  -16
Time-step:  6000 , Current reward:  -21


EPISODE:  24


Time-step:  500 , Current reward:  1
Time-step:  1000 , Current reward:  1
Time-step:  1500 , Current reward:  1
Time-step:  2000 , Current reward:  -16
Time-step:  2500 , Current reward:  1
Time-step:  3000 , Current reward:  -31
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -4
GOAL REACHED SUCCESSFULLY!


EPISODE:  25


Time-step:  500 , Current reward:  -4
Time-step:  1000 , Current reward:  -4
Time-step:  1500 , Current reward:  -21
Time-step:  2000 , Current reward:  -9
Time-step:  2500 , Current reward:  -31
Time-step:  3000 , Current reward:  1
Time-step:  3500 , Current reward:  -31
Time-step:  4000 , Current reward:  -31
Time-step:  4500 , Current reward:  -31
Time-step:  5000 , Current reward:  -21
