Episode,Total Reward
0,-198272
1,-122342
2,-127405
3,-69315
4,-185235
5,-145239
6,-151543
7,-131940
8,-110210
9,-114767
10,-106881
11,-158268
12,-176232
13,-109471
14,-72410
15,-94013
16,-209302
17,-79817
18,-78595
19,-85254
20,-126705
21,-187104
22,-95424
23,-130557
24,-198370
25,-35257
26,-52794
27,-158466
28,-83253
29,-111185
30,-62896
31,-57898
32,-44790
33,-58612
34,-66429
35,-74510
36,-18265
37,2371
38,6034
39,-392
40,6681
41,6954
42,6397
43,6465
44,5943
45,6051
46,5713
47,6505
48,6015
49,6089
50,4621
51,6686
52,6380
53,6480
54,5099
55,6865
56,6981
57,6960
58,6936
59,6982
60,6913
61,6898
62,6811
63,2436
64,5818
65,2486
66,5397
67,6969
68,6684
69,5692
70,5479
71,3648
72,5197
73,4993
74,1272
75,5014
76,4334
77,79
78,4329
79,5372
80,5801
81,-9733
82,3622
83,4787
84,5270
85,4481
86,4725
87,4680
88,3470
89,5483
90,3872
91,6031
92,6835
93,7154
94,4022
95,7357
96,1974
97,-80105
98,-855
99,2558
100,-100307
101,-145068
102,-31857
103,7325
104,3744
105,2964
106,4713
107,6126
108,7355
109,7268
110,5589
111,7134
112,-87996
113,7110
114,5697
115,6833
116,6485
117,6478
118,6514
119,-88896
120,6095
121,7199
122,5897
123,5204
124,5970
125,5734
126,6394
127,5924
128,5553
129,5462
130,6631
131,5895
132,5755
133,-1510
134,6513
135,6607
136,6511
137,6545
138,6484
139,5357
140,-31224
141,-8651
142,4041
143,2621
144,-896
145,-9426
146,1136
147,3594
148,-9800
149,-1437
150,-7493
151,-9827
152,1874
153,-3440
154,-3539
155,2326
156,1462
157,3102
158,-73
159,-11658
160,-96561
161,1855
162,-7737
163,-6338
164,5522
165,6395
166,-3229
167,5476
168,-5738
169,1270
170,3589
171,-203445
172,-10339
173,2946
174,625
175,-34972
176,2919
177,-4275
178,-11133
179,-3171
180,5298
181,3231
182,1026
183,1908
184,4528
185,-2395
186,113
187,0
188,5801
189,-3502
190,-16802
191,411
192,-1682
193,5841
194,-3126
195,5673
196,6432
197,-3335
198,-41287
199,6297
200,7110
201,4831
202,-2294
203,5952
204,4164
205,4669
206,1048
207,1384
208,2655
209,2720
210,1492
211,7921
212,4635
213,4924
214,2604
215,6055
216,6300
217,3730
218,-3193
219,372
220,4398
221,-818
222,3453
223,-55231
224,-3757
225,3973
226,-51303
227,-11098
228,-3633
229,1016
230,-1813
231,2283
232,-4891
233,1667
234,-556928
235,-15459
236,-86023
237,-20053
238,-7864
239,-89973
240,-211588
241,-965
242,-258378
243,-70457
244,-34427
245,-16389
246,-32214
247,-15326
248,51
249,2656
250,-6091
251,4002
252,3598
253,3634
254,3400
255,5223
256,-37187
257,3505
258,955
259,3067
260,5207
261,3513
262,2405
263,3690
264,3739
265,5038
266,2058
267,4405
268,4580
269,3898
270,3800
271,4911
272,-82867
273,-6557
274,-5349
275,3267
276,3861
277,6090
278,5539
279,3455
280,4430
281,5400
282,5963
283,6157
284,6591
285,5586
286,4081
287,5293
288,5370
289,6815
290,5256
291,5334
292,871
293,-1699
294,2164
295,2123
296,1121
297,5793
298,3033
299,-25551
