Episode,Total Return
1,-979.24034782076
2,-726.9207508020046
3,-1564.0728264836719
4,-886.1643097110159
5,-1030.765798604382
6,-1998.281594379377
7,-1904.3542203651787
8,-1969.2742913720244
9,-1447.729483269072
10,-1998.7439040927306
11,-2382.503084524504
12,-956.4116223983079
13,-2136.1452499206553
14,-1110.9240357522074
15,-1556.256493996765
16,-875.4021365997163
17,-1660.5371177794082
18,-866.5590988911205
19,-1834.5843544666297
20,-1227.9487357249427
21,-1292.0754221424722
22,-810.5812051012879
23,-1408.3280299724534
24,-1259.0101273004184
25,-844.6191443560183
26,-1513.3040921767854
27,-988.6208425125023
28,-783.2202447454678
29,-884.0861378628977
30,-1252.2824758247907
31,-837.2804164506969
32,-1543.9575853299857
33,-1788.1518850367065
34,-1253.704825781874
35,-995.3448759786831
36,-3330.0838687553614
37,-862.9647969694126
38,-1008.4032604193867
39,-1147.9212361729026
40,-1251.556816144798
41,-1151.9869644491246
42,-1175.9292349129362
43,-1168.6389750471972
44,-1378.0728592770145
45,-1808.0954056867718
46,-1254.2804204372164
47,-1487.5016573981582
48,-1535.1214777773857
49,-1537.5236147471905
50,-664.028601103497
51,-822.880661345462
52,-825.3255872874502
53,-2212.1437043129495
54,-919.9372082763521
55,-1565.9005884042817
56,-1254.0082534174383
57,-1038.4818707221555
58,-1411.733116923316
59,-1747.7752715808354
60,-1358.6437899073735
61,-1882.751436759657
62,-952.3203534503405
63,-1860.4046068516377
64,-1783.3173634469615
65,-1659.2269757518504
66,-968.6377096488812
67,-1734.6736945848625
68,-1065.851719882237
69,-1197.9670591455433
70,-1306.3375223323383
71,-2132.471769739669
72,-1220.8924487016166
73,-1114.8264543440457
74,-1367.531534409853
75,-1114.3276236359297
76,-1022.4431474327914
77,-1662.720219272466
78,-1622.760489818514
79,-672.5981114614696
80,-766.316851851352
