Episode,Policy Loss
1,-44658140.0
2,-35383004.0
3,-45681524.0
4,-37269064.0
5,-38011308.0
6,-38229408.0
7,-42304716.0
8,-42777632.0
9,-48394192.0
10,-47197812.0
11,-38184088.0
12,-54554096.0
13,-44653100.0
14,-62293632.0
15,-38581660.0
16,-40452928.0
17,-46999612.0
18,-46327460.0
19,-41325196.0
20,-28259638.0
21,-41916212.0
22,-40535000.0
23,-35827172.0
24,-44230500.0
25,-46305500.0
26,-38820968.0
27,-38424828.0
28,-41010436.0
29,-43222648.0
30,-38383736.0
31,-49573084.0
32,-7106282.5
33,-46509828.0
34,-36695524.0
35,-39221224.0
36,-39373836.0
37,-36509280.0
38,-41662980.0
39,-40634832.0
40,-40552072.0
41,-48306760.0
42,-41752732.0
43,-46064068.0
44,-39285280.0
45,-42620192.0
46,-52410592.0
47,-42027968.0
48,-39731192.0
49,-47816604.0
50,-37368524.0
51,-38106188.0
52,-45340056.0
53,-41252888.0
54,-40073852.0
55,-41370152.0
56,-43622940.0
57,-42646192.0
58,-37654612.0
59,-42701476.0
60,-45257004.0
61,-52031172.0
62,-40446644.0
63,-43907092.0
64,-36001284.0
65,-44012320.0
66,-42377272.0
67,-38382440.0
68,-39305888.0
69,-40310248.0
70,-41527120.0
71,-42912216.0
72,-40477384.0
73,-40535564.0
74,-42299324.0
75,-47649388.0
76,-47704308.0
77,-39696280.0
78,-39191420.0
79,-37723924.0
80,-35784080.0
81,-47462904.0
82,-38691248.0
83,-45547216.0
84,-42880904.0
85,-51629284.0
86,-38011296.0
87,-39584448.0
88,-47771808.0
89,-40611496.0
90,-38700456.0
91,-41809704.0
92,-40358400.0
93,-41453632.0
94,-43008496.0
95,-41341408.0
96,-40925112.0
97,-41683440.0
98,-38639872.0
99,-48723152.0
100,-41625728.0
101,-43209396.0
102,-44377716.0
103,-36770584.0
104,-44979412.0
105,-41201784.0
106,-40679972.0
107,-44175564.0
108,-40592956.0
109,-41300984.0
110,-47512680.0
111,-45528480.0
112,-42684780.0
113,-45029148.0
114,-47998148.0
115,-52339188.0
116,-48207492.0
117,-42261892.0
118,-47722844.0
119,-37185952.0
120,-43328404.0
