Episode,Total Return
1,-2021.9219970703125
2,-1601.92529296875
3,-2122.05810546875
4,-2181.797607421875
5,-2025.0506591796875
6,-2085.262939453125
7,-2231.59130859375
8,-2273.187255859375
9,-1675.647705078125
10,-1962.459716796875
11,-1284.958251953125
12,-1771.2415771484375
13,-1788.7115478515625
14,-1767.38037109375
15,-1706.624267578125
16,-1825.0003662109375
17,-1774.0552978515625
18,-1968.2886962890625
19,-2097.101806640625
20,-1767.0943603515625
21,-1781.7872314453125
22,-2141.60595703125
23,-2451.341796875
24,-1758.9154052734375
25,-1411.613037109375
26,-1849.068359375
27,-2153.3896484375
28,-1757.3721923828125
29,-2047.17578125
30,-2156.306884765625
31,-1741.848876953125
32,-1019.836181640625
33,-774.5794067382812
34,-1717.701171875
35,-1686.9803466796875
36,-2157.4228515625
37,-1923.97119140625
38,-1833.5277099609375
39,-2030.791015625
40,-2263.57763671875
41,-1536.1236572265625
42,-1990.09716796875
43,-1652.2576904296875
44,-1870.4422607421875
45,-1834.30029296875
46,-2190.28466796875
47,-1498.7239990234375
48,-1277.5704345703125
49,-1983.5338134765625
50,-1807.5054931640625
51,-1935.231201171875
52,-1994.4788818359375
53,-1850.1824951171875
54,-1878.87451171875
55,-2004.401123046875
56,-1870.010498046875
57,-1768.9725341796875
58,-1945.530517578125
59,-2060.087646484375
60,-1295.89892578125
61,-2335.164306640625
62,-2269.710693359375
63,-1990.54248046875
64,-1767.4002685546875
65,-1537.2518310546875
66,-1631.700927734375
67,-2244.0654296875
68,-1182.8052978515625
69,-1963.46630859375
70,-1358.162353515625
71,-1372.6361083984375
72,-1546.0999755859375
73,-1986.35498046875
74,-2030.5423583984375
75,-1964.830078125
76,-1631.6614990234375
77,-1728.788818359375
78,-1925.1490478515625
79,-1848.3277587890625
80,-2237.898681640625
81,-1490.110107421875
82,-1546.20703125
83,-867.4693603515625
84,-1592.535400390625
85,-1520.9986572265625
86,-1807.8033447265625
87,-730.6746826171875
88,-1651.6400146484375
89,-1839.899169921875
90,-1766.3837890625
91,-1139.400634765625
92,-1007.2747802734375
93,-1771.301513671875
94,-2001.586669921875
95,-2105.947509765625
96,-1291.8106689453125
97,-1853.55224609375
98,-1224.288330078125
99,-1765.9173583984375
100,-1074.0418701171875
101,-2151.076416015625
102,-1818.1629638671875
103,-2176.045166015625
104,-2079.955322265625
105,-1691.785400390625
106,-1791.2122802734375
107,-1086.2982177734375
108,-2063.161376953125
109,-2040.6485595703125
110,-1189.20849609375
111,-1764.7081298828125
112,-1008.77880859375
113,-1956.045166015625
114,-2131.487060546875
115,-765.8355102539062
116,-989.8501586914062
117,-1990.945068359375
118,-1672.27587890625
119,-2097.48779296875
120,-1992.8994140625
