Episode,Policy Loss
1,-7.668674468994141
2,-12.975044250488281
3,15.444351196289062
4,-7.1309967041015625
5,2.8353958129882812
6,14.116531372070312
7,-20.627685546875
8,-11.874822616577148
9,-42.72801208496094
10,-10.78277587890625
11,-2.51336669921875
12,-39.136505126953125
13,-28.2401123046875
14,-39.059410095214844
15,-13.615921020507812
16,-22.562774658203125
17,-76.29541015625
18,-43.48887634277344
19,-93.81988525390625
20,-80.85963439941406
21,-81.16799926757812
22,-59.64695739746094
23,-54.419464111328125
24,-77.978759765625
25,-130.59005737304688
26,-74.219482421875
27,-69.59065246582031
28,-168.63153076171875
29,-131.490478515625
30,-171.7496795654297
31,-168.8236083984375
32,-173.38772583007812
33,-253.6881103515625
34,-176.39236450195312
35,-240.67938232421875
36,-129.485595703125
37,-170.6195526123047
38,-181.61257934570312
39,-132.5191650390625
40,-240.332763671875
41,-170.64874267578125
42,-200.39907836914062
43,-2.4473876953125
44,-184.7318115234375
45,-230.27169799804688
46,-116.2362060546875
47,-171.36900329589844
48,-311.8774719238281
49,-109.11467742919922
50,-159.6393280029297
51,-238.70108032226562
52,-156.98057556152344
53,-254.34725952148438
54,-300.30035400390625
55,-337.41357421875
56,-182.37359619140625
57,-22.5255126953125
58,-121.6142349243164
59,9.021244049072266
60,-447.60968017578125
61,-372.9084167480469
62,-168.3522186279297
63,-78.51866912841797
64,-178.33432006835938
65,-95.3189468383789
66,-156.95094299316406
67,-132.14356994628906
68,-75.25933837890625
69,-135.38514709472656
70,-169.08502197265625
71,-283.1654052734375
72,-35.98408508300781
73,-35.34803771972656
74,-138.35707092285156
75,-195.7298583984375
76,-339.8081359863281
77,-251.02061462402344
78,-6.81640625
79,69.98800659179688
80,-32.5400390625
81,23.911319732666016
82,-64.93574523925781
83,-118.07052612304688
84,-165.84783935546875
85,-60.28606414794922
86,-4.929416656494141
87,83.96438598632812
88,-238.70343017578125
89,225.3023223876953
90,-252.27191162109375
91,-265.3826904296875
92,-132.62252807617188
93,-543.1341552734375
94,320.7476806640625
95,180.0394287109375
96,-34.16010665893555
97,-123.29512786865234
98,-86.85746002197266
99,-40.00585174560547
100,134.87278747558594
101,161.0948944091797
102,-81.17130279541016
103,-240.192138671875
104,79.63050079345703
105,-103.49702453613281
106,0.7542839050292969
107,93.42848205566406
108,-178.94309997558594
109,-292.2068176269531
110,-97.26396942138672
111,51.73902130126953
112,151.70741271972656
113,-63.214683532714844
114,-8.622047424316406
115,46.86630630493164
116,-184.57350158691406
117,85.43280029296875
118,13.444107055664062
119,-244.7270050048828
120,8.35020637512207
121,186.84075927734375
122,-151.27508544921875
123,-12.623069763183594
124,136.6661376953125
125,151.04266357421875
