Episode,Total Return
1,-990.9187890668368
2,-1014.750688906212
3,-1601.9899914099274
4,-1527.3562679894155
5,-1004.7878467745741
6,-1781.2241224081579
7,-1138.785424066945
8,-985.9695078991382
9,-1133.144890534239
10,-805.724525900252
11,-1389.1540687894374
12,-1844.219691774347
13,-1603.8330224462593
14,-1050.3699629580958
15,-1077.1732838974983
16,-1032.6720971717764
17,-1037.5929205164284
18,-1025.299672444724
19,-1520.1839301839775
20,-1577.8746827948744
21,-1730.8190861946164
22,-1485.5097995933886
23,-1212.0909180919034
24,-956.7795884789915
25,-1432.8210270133377
26,-1488.409116177803
27,-1280.3557543985194
28,-1258.3098922565264
29,-1252.6880911961541
30,-1410.5789030497185
31,-1225.5262989453563
32,-921.2101219656894
33,-1386.5052727673753
34,-1314.528775776026
35,-1198.541017605967
36,-1401.475946076422
37,-541.5588621034418
38,-1477.3579980319118
39,-1299.0796370023381
40,-1235.0143391162567
41,-706.3249149166269
42,-781.9292811773313
43,-524.3328341516795
44,-818.4173154390945
45,-1154.6961994353992
46,-1330.7524989392234
47,-1052.8723179725725
48,-614.161932783485
49,-561.5407765791732
50,-1100.7362463797808
51,-431.7686180768371
52,-600.571424985391
53,-947.6585264448336
54,-880.0676358981575
55,-708.9195407996733
56,-360.7672739739413
57,-502.19613160958454
58,-627.8133666926469
59,-462.12374194167506
60,-407.50658677145543
61,-863.364922395782
62,-882.7902027333284
63,-314.70466784918943
64,-656.2937378618473
65,-637.942220672909
66,-967.4866621987984
67,-612.8188693664307
68,-669.6159370178358
69,-581.0288928798566
70,-909.5572788645416
71,-1061.7285437411822
72,-680.443577449003
73,-1019.519899963629
74,-789.9359969502582
75,-588.2871913833051
76,-667.3876266504336
77,-638.8366733752555
78,-826.5368852954199
79,-807.2753949834009
80,-726.0869206787594
81,-913.0549823904466
82,-931.8291099282136
83,-581.0922384756805
84,-538.4048166824041
85,-807.8529310190027
86,-469.6112715842597
87,-1199.5025860615115
88,-657.2391645694144
89,-878.2671236158037
90,-1083.406715093715
91,-1079.7861391558718
92,-618.0737906165584
93,-1154.8253029412308
94,-611.406979899881
95,-780.8599383893406
96,-563.4252025971722
97,-1086.3975546161337
98,-745.1925462327575
99,-730.4882236931154
100,-291.0998834926661
101,-702.2905146872785
102,-661.5839976900131
103,-1010.330662059715
104,-697.771553412182
105,-828.4931678857484
106,-611.932678913737
107,-684.2905176221168
108,-893.5572453870748
109,-812.8710911453978
110,-716.8693900134215
111,-673.525958530803
112,-651.6368959519333
113,-702.4494534918376
114,-1076.706631095028
115,-651.5208040386725
116,-314.7105869532422
117,-895.5260103005245
118,-1045.2935221208957
119,-925.567417141003
120,-724.3293892672498
121,-1074.315166603214
122,-972.7296151168315
123,-897.1031062110504
124,-407.59915882636847
125,-860.5963787268355
126,-362.7351869070929
127,-914.0279006452503
128,-462.45391496041213
129,-514.246742915054
130,-567.04488190088
131,-263.4986907133439
132,-362.8294673081368
133,-232.89516343390372
134,-485.1408757329266
135,-197.6754838429177
136,-258.3196844344032
137,-137.15862201563945
138,-180.64502996943227
139,-447.8911563326674
140,-221.60263742295268
141,-526.536685833368
142,-169.32147901199744
143,-709.2393597327696
144,-175.27328351435392
145,-270.3025419444036
146,-287.2264646661467
147,-370.15240448053714
148,-758.9424091879372
149,-982.3964843666857
150,-971.4441391798949
151,-766.3145167904406
152,-954.130428807129
153,-786.0209143726387
154,-571.460224768406
155,-251.58133286840808
156,-926.0513568844414
157,-275.72715010473803
158,-287.1406513367674
159,-411.85956511610533
160,-89.4719330117523
161,-176.54169624439388
162,-273.8244477518115
163,-15.4565547481047
164,-473.45751915115096
165,-98.9425784743185
166,-34.290527491001775
167,-175.8439051829772
168,-22.000752088701077
169,-283.29683967110134
170,-469.78279822513923
171,-238.98113151318097
172,-223.43488612915706
173,-267.1329392349348
174,-317.2106165473509
175,-870.6647780212529
176,-731.380474632856
177,-729.4100916293612
178,-589.0841480483986
179,-813.4001440429661
180,-504.50298327577445
181,-746.4223479725609
182,-768.5655592382905
183,-460.8440935564893
184,-1011.2454577913483
185,-257.8186683902916
186,-405.98716367553095
187,-944.1589682919467
188,-478.2219128391148
189,-670.9197106442535
190,-578.3516611530146
191,-634.0338689478751
192,-801.9941530171519
193,-491.4760284488207
194,-525.852623705588
195,-447.4786411520002
196,-334.76490222801755
197,-604.608025757973
198,-799.715292142751
199,-870.9140523692613
200,-725.8654173247265
